the            : 1996
a              : 1109
of             : 1054
and            : 816
to             : 742
in             : 680
I              : 551
that           : 412
is             : 366
was            : 363
it             : 347
his            : 309
on             : 299
for            : 297
you            : 288
with           : 287
he             : 259
as             : 249
have           : 182
be             : 180
The            : 176
at             : 174
not            : 173
are            : 171
my             : 165
had            : 151
or             : 148
an             : 138
but            : 136
It             : 134
this           : 126
upon           : 126
s              : 125
by             : 125
from           : 124
were           : 121
when           : 117
they           : 113
would          : 112
if             : 111
your           : 106
there          : 103
her            : 102
its            : 101
But            : 96
one            : 95
me             : 92
their          : 90
He             : 88
who            : 87
so             : 87
him            : 84
up             : 83
we             : 83
all            : 83
If             : 80
such           : 76
out            : 74
There          : 73
has            : 71
And            : 68
may            : 68
will           : 68
which          : 67
Gutenberg      : 64
them           : 63
Project        : 63
these          : 62
no             : 61
Or             : 59
might          : 59
than           : 59
been           : 59
come           : 59
off            : 57
In             : 55
A              : 54
before         : 53
work           : 49
came           : 49
tm             : 48
too            : 47
into           : 47
old            : 47
though         : 46
what           : 46
any            : 46
about          : 45
like           : 45
must           : 44
We             : 43
man            : 43
other          : 43
more           : 43
set            : 43
can            : 43
us             : 42
yet            : 42
time           : 42
You            : 42
still          : 42
our            : 42
how            : 41
first          : 41
day            : 40
now            : 40
could          : 39
down           : 38
am             : 37
against        : 37
only           : 36
she            : 36
once           : 35
even           : 35
across         : 33
place          : 33
days           : 33
did            : 32
street         : 32
some           : 32
where          : 32
made           : 31
myself         : 31
book           : 31
last           : 30
world          : 30
way            : 29
although       : 29
works          : 29
until          : 29
see            : 29
those          : 28
years          : 28
through        : 28
said           : 28
whether        : 27
Pepys          : 27
do             : 26
while          : 26
put            : 26
think          : 25
long           : 25
To             : 25
go             : 25
head           : 25
read           : 25
also           : 25
being          : 24
My             : 24
eye            : 24
lay            : 24
night          : 24
part           : 24
general        : 24
little         : 24
back           : 23
without        : 23
found          : 23
city           : 23
should         : 23
public         : 23
most           : 23
E              : 22
house          : 22
As             : 22
grandfather    : 22
His            : 22
whose          : 22
take           : 22
run            : 22
better         : 21
Then           : 21
They           : 21
many           : 21
himself        : 21
know           : 21
wrote          : 21
thoughts       : 21
life           : 21
thought        : 21
dog            : 20
At             : 20
get            : 20
course         : 20
here           : 20
Foundation     : 20
fellow         : 20
door           : 20
above          : 20
took           : 20
hold           : 20
just           : 20
horse          : 20
turn           : 19
after          : 19
few            : 19
gave           : 19
sound          : 19
When           : 19
went           : 19
electronic     : 19
boy            : 19
forth          : 18
below          : 18
shall          : 18
Perhaps        : 18
window         : 18
great          : 18
things         : 18
men            : 18
books          : 18
around         : 18
kind           : 18
saw            : 18
sit            : 18
morning        : 18
two            : 17
This           : 17
terms          : 17
having         : 17
For            : 17
dogs           : 17
full           : 17
own            : 17
hour           : 17
fire           : 17
F              : 16
good           : 16
Of             : 16
outside        : 16
perhaps        : 16
persons        : 16
fear           : 16
writing        : 16
agreement      : 16
ProjectGutenberg: 16
cook           : 16
Now            : 16
within         : 16
name           : 16
top            : 15
Here           : 15
use            : 15
end            : 15
Mr             : 15
then           : 15
much           : 15
looked         : 15
Yet            : 15
fancy          : 15
afternoon      : 15
What           : 15
let            : 15
away           : 15
pages          : 15
Review         : 15
light          : 15
comes          : 15
home           : 15
again          : 15
several        : 15
S              : 14
t              : 14
room           : 14
fallen         : 14
knew           : 14
single         : 14
beyond         : 14
got            : 14
Dolly          : 14
theatre        : 14
poor           : 14
show           : 14
sits           : 14
past           : 14
toward         : 14
because        : 14
along          : 14
country        : 14
copy           : 14
together       : 14
One            : 14
sat            : 14
bit            : 14
recall         : 14
tune           : 14
hand           : 13
walked         : 13
known          : 13
make           : 13
look           : 13
near           : 13
held           : 13
walk           : 13
plays          : 13
hill           : 13
quite          : 13
each           : 13
three          : 13
rather         : 13
copyright      : 13
new            : 13
maybe          : 13
very           : 13
nose           : 13
coming         : 13
itself         : 13
Spring         : 13
chance         : 13
story          : 13
written        : 13
order          : 12
moment         : 12
kitchen        : 12
hours          : 12
under          : 12
occasion       : 12
common         : 12
themselves     : 12
ear            : 12
asked          : 12
On             : 12
never          : 12
lady           : 12
beneath        : 12
early          : 12
chair          : 12
best           : 12
Indeed         : 12
dinner         : 12
earth          : 12
lest           : 12
park           : 12
With           : 12
whole          : 12
Let            : 12
used           : 12
wind           : 12
since          : 12
inside         : 12
horses         : 12
friend         : 12
streets        : 12
times          : 11
business       : 11
Sir            : 11
Lady           : 11
Edinburgh      : 11
apple          : 11
often          : 11
Do             : 11
OF             : 11
play           : 11
Archive        : 11
waters         : 11
England        : 11
laid           : 11
paper          : 11
shelf          : 11
number         : 11
eBooks         : 11
between        : 11
legs           : 11
leg            : 11
fashion        : 11
Even           : 11
feet           : 11
town           : 11
bought         : 11
Nor            : 11
windows        : 11
donations      : 11
cried          : 11
Lord           : 11
behind         : 11
box            : 11
goes           : 11
really         : 11
gone           : 10
cut            : 10
These          : 10
forward        : 10
love           : 10
winter         : 10
need           : 10
http           : 10
white          : 10
far            : 10
sudden         : 10
food           : 10
second         : 10
www            : 10
hear           : 10
London         : 10
Literary       : 10
small          : 10
something      : 10
face           : 10
indeed         : 10
shop           : 10
How            : 10
different      : 10
upper          : 10
throw          : 10
well           : 10
does           : 10
lie            : 10
Presently      : 10
mind           : 10
papers         : 10
met            : 10
open           : 10
gutenberg      : 10
chimney        : 10
certain        : 10
keep           : 10
lies           : 10
dark           : 10
eBook          : 10
cannot         : 10
Jeffrey        : 10
round          : 10
already        : 10
yourself       : 10
river          : 10
paragraph      : 10
table          : 10
office         : 10
stood          : 10
Such           : 10
sun            : 10
desk           : 10
children       : 10
hair           : 10
Kenelm         : 9
All            : 9
including      : 9
caught         : 9
state          : 9
start          : 9
water          : 9
She            : 9
trees          : 9
lost           : 9
word           : 9
eat            : 9
least          : 9
By             : 9
Is             : 9
ofthe          : 9
Rather         : 9
So             : 9
trademark      : 9
rare           : 9
become         : 9
youth          : 9
young          : 9
replied        : 9
laws           : 9
bell           : 9
present        : 9
farm           : 9
broken         : 9
words          : 9
somewhat       : 9
high           : 9
sight          : 9
done           : 9
voice          : 9
volume         : 9
praise         : 9
heads          : 9
whom           : 9
kept           : 9
turned         : 9
seemed         : 9
ancient        : 9
yellow         : 9
English        : 9
hope           : 9
fine           : 9
find           : 9
writes         : 9
red            : 9
therefore      : 9
tunes          : 9
mood           : 9
cart           : 9
eyes           : 9
over           : 9
change         : 9
woman          : 8
says           : 8
journey        : 8
pavement       : 8
year           : 8
No             : 8
fee            : 8
matters        : 8
fit            : 8
plot           : 8
ll             : 8
usual          : 8
reading        : 8
reader         : 8
Charles        : 8
United         : 8
fall           : 8
nothing        : 8
real           : 8
Blackwood      : 8
offered        : 8
party          : 8
however        : 8
access         : 8
excitement     : 8
person         : 8
left           : 8
Its            : 8
inthe          : 8
provide        : 8
path           : 8
pass           : 8
fell           : 8
associated     : 8
asthough       : 8
Street         : 8
chiefly        : 8
lived          : 8
give           : 8
Although       : 8
States         : 8
wife           : 8
King           : 8
note           : 8
License        : 8
pen            : 8
onthe          : 8
passed         : 8
pleasant       : 8
true           : 8
heard          : 8
fence          : 8
abroad         : 8
taste          : 8
view           : 8
dust           : 8
greater        : 8
wares          : 8
both           : 8
say            : 8
enough         : 8
nature         : 8
road           : 8
review         : 8
readers        : 7
hard           : 7
question       : 7
