against   : 7
nor       : 7
Cross     : 7
JOOLES    : 7
BAMPTON   : 7
wish      : 7
pay       : 7
VOLLAIRE  : 7
Said      : 7
train     : 7
Good      : 7
summer    : 7
cannot    : 7
truly     : 7
most      : 7
son       : 7
friend    : 7
hair      : 7
really    : 7
M         : 6
NELL      : 6
BOO       : 6
became    : 6
says      : 6
Than      : 6
tear      : 6
Rum       : 6
short     : 6
ELLEN     : 6
PLOW      : 6
COO       : 6
Print     : 6
Bun       : 6
leave     : 6
BERKELY   : 6
Do        : 6
hatchet   : 6
LL        : 6
MR        : 6
TO        : 6
JOHNNY    : 6
happened  : 6
fee       : 6
sure      : 6
while     : 6
CALAMITY  : 6
seen      : 6
marry     : 6
till      : 6
having    : 6
small     : 6
VOLATILE  : 6
Were      : 6
Upon      : 6
honour    : 6
Earl      : 6
isn       : 6
read      : 6
daily     : 6
daughter  : 6
MAKREDI   : 6
drink     : 6
virtue    : 6
place     : 6
While     : 6
surgeon   : 6
legs      : 6
Small     : 6
Young     : 6
Frenchmen : 6
SHAKESPEARE: 6
lad       : 6
thirty    : 6
does      : 6
haughty   : 6
Jew       : 6
surely    : 6
wealth    : 6
oysters   : 6
Colonel   : 6
mad       : 6
terrible  : 6
received  : 6
First     : 6
felt      : 6
because   : 6
rich      : 6
CLEGGS    : 6
girl      : 6
whim      : 6
bring     : 6
whom      : 6
Although  : 6
kept      : 6
seemed    : 6
Christian : 6
cold      : 6
dare      : 6
PREPERE   : 6
English   : 6
MAHRY     : 6
sailors   : 6
tale      : 6
passed    : 6
Hart      : 6
within    : 6
health    : 6
return    : 6
turtle    : 6
POP       : 6
public    : 6
Author    : 6
Bart      : 6
SIMON     : 6
begin     : 6
several   : 6
mortal    : 6
ten       : 5
information: 5
besides   : 5
gone      : 5
cot       : 5
try       : 5
Their     : 5
bright    : 5
suitor    : 5
die       : 5
being     : 5
stand     : 5
THAT      : 5
woke      : 5
look      : 5
mast      : 5
themselves: 5
lose      : 5
eat       : 5
instead   : 5
year      : 5
naughty   : 5
HE        : 5
Mr        : 5
dwelt     : 5
white     : 5
Policeman : 5
suit      : 5
various   : 5
ah        : 5
rare      : 5
placed    : 5
Don       : 5
Except    : 5
