the            : 4210
to             : 2595
and            : 2414
of             : 1940
a              : 1925
I              : 1572
in             : 1363
her            : 1221
that           : 1070
you            : 1025
s              : 978
was            : 973
she            : 961
it             : 817
he             : 783
with           : 744
Johnnie        : 738
t              : 693
as             : 604
for            : 595
had            : 582
on             : 556
at             : 546
his            : 515
him            : 447
me             : 393
The            : 368
up             : 356
be             : 350
they           : 345
but            : 337
have           : 312
from           : 300
She            : 299
this           : 298
Stoddard       : 292
out            : 285
not            : 284
is             : 280
said           : 276
all            : 276
them           : 271
down           : 252
man            : 250
ll             : 249
one            : 242
or             : 241
little         : 233
were           : 231
an             : 229
He             : 226
do             : 225
so             : 224
when           : 224
You            : 213
which          : 211
there          : 209
like           : 207
what           : 202
would          : 195
about          : 192
if             : 189
old            : 182
girl           : 174
been           : 173
could          : 173
got            : 171
know           : 169
work           : 167
no             : 166
into           : 166
came           : 166
my             : 165
here           : 165
mill           : 164
back           : 163
d              : 162
Shade          : 157
Gray           : 157
get            : 155
don            : 154
by             : 154
any            : 151
It             : 150
over           : 149
more           : 148
Pros           : 145
Pap            : 144
eyes           : 142
go             : 137
time           : 137
can            : 135
we             : 133
m              : 131
face           : 131
good           : 130
now            : 127
Mandy          : 127
some           : 127
Himes          : 127
But            : 124
your           : 124
Miss           : 122
Buckheath      : 121
em             : 120
than           : 120
Sessions       : 118
way            : 117
who            : 117
ve             : 116
where          : 116
Mr             : 115
They           : 114
their          : 113
looked         : 112
say            : 112
see            : 112
ain            : 112
right          : 111
Lydia          : 110
come           : 109
never          : 109
other          : 107
made           : 106
long           : 105
put            : 104
are            : 104
well           : 103
And            : 102
young          : 102
two            : 100
just           : 100
its            : 99
such           : 98
Consadine      : 98
head           : 97
room           : 96
Uncle          : 94
away           : 94
thing          : 92
own            : 92
want           : 91
If             : 89
before         : 89
house          : 89
did            : 87
after          : 86
woman          : 86
re             : 86
make           : 85
take           : 85
That           : 85
went           : 84
turned         : 84
told           : 84
might          : 83
then           : 83
think          : 82
how            : 82
reckon         : 82
look           : 80
herself        : 80
children       : 79
hand           : 79
must           : 78
find           : 78
always         : 77
yet            : 76
Well           : 75
Mavity         : 74
these          : 74
Hardwick       : 73
What           : 72
only           : 72
There          : 71
A              : 70
has            : 70
off            : 69
side           : 69
o              : 68
let            : 68
upon           : 68
Deanie         : 68
mother         : 68
mind           : 67
tell           : 67
big            : 67
road           : 67
No             : 66
Oh             : 66
too            : 66
morning        : 66
will           : 65
Gutenberg      : 64
toward         : 64
Then           : 64
much           : 64
Project        : 63
voice          : 63
home           : 63
goin           : 62
money          : 62
night          : 62
asked          : 61
thar           : 61
returned       : 61
people         : 61
day            : 60
found          : 60
very           : 60
Yes            : 60
Her            : 58
ever           : 58
through        : 58
things         : 58
should         : 58
give           : 58
car            : 58
anything       : 57
set            : 56
Why            : 56
first          : 56
took           : 56
going          : 55
himself        : 55
those          : 55
almost         : 54
though         : 54
saw            : 54
Laurella       : 54
once           : 53
mine           : 53
feet           : 53
mighty         : 53
thought        : 53
last           : 52
door           : 52
men            : 52
again          : 52
help           : 52
child          : 52
As             : 51
knew           : 51
while          : 51
girls          : 51
ye             : 50
talk           : 50
word           : 50
won            : 50
course         : 50
stood          : 50
life           : 49
till           : 49
place          : 49
better         : 48
tm             : 48
under          : 48
began          : 48
matter         : 47
done           : 47
even           : 47
half           : 47
gave           : 47
seemed         : 47
inquired       : 46
Cottonville    : 46
didn           : 45
Bence          : 45
above          : 45
poor           : 44
left           : 44
hands          : 44
folks          : 44
name           : 44
mountains      : 43
something      : 43
enough         : 43
finally        : 42
git            : 42
silver         : 42
between        : 42
spoke          : 42
new            : 42
looking        : 42
without        : 42
sight          : 42
every          : 42
words          : 41
world          : 41
may            : 41
moment         : 41
since          : 41
air            : 41
We             : 40
us             : 40
small          : 40
hit            : 40
nothing        : 40
When           : 40
Mrs            : 40
MacPherson     : 40
days           : 40
being          : 39
along          : 39
hospital       : 38
brought        : 38
evening        : 38
great          : 38
heart          : 38
gal            : 37
full           : 37
white          : 37
Passmore       : 37
fine           : 37
bit            : 37
across         : 36
wanted         : 36
love           : 36
laughed        : 36
steps          : 36
wouldn         : 36
turn           : 35
business       : 35
God            : 35
Watauga        : 35
pretty         : 35
light          : 35
Lord           : 35
use            : 35
seen           : 35
mountain       : 35
gone           : 34
For            : 34
This           : 34
agreed         : 34
ofthe          : 34
held           : 34
together       : 34
sort           : 34
baby           : 33
many           : 33
sure           : 33
best           : 33
believe        : 33
body           : 33
hard           : 33
called         : 33
around         : 33
Don            : 32
keep           : 32
ran            : 32
sat            : 32
THE            : 32
Conroy         : 32
still          : 32
arm            : 32
bed            : 32
