the            : 7030
of             : 5145
and            : 2582
to             : 1968
in             : 1860
a              : 1491
is             : 1289
that           : 1270
which          : 1123
as             : 809
it             : 755
by             : 695
are            : 662
be             : 651
or             : 569
have           : 543
with           : 531
I              : 485
from           : 463
not            : 424
The            : 409
for            : 395
at             : 390
this           : 390
has            : 360
but            : 300
on             : 293
may            : 291
been           : 281
an             : 276
these          : 271
one            : 267
we             : 266
its            : 259
all            : 257
they           : 251
was            : 250
other          : 233
more           : 229
no             : 222
than           : 220
any            : 213
such           : 209
their          : 208
into           : 202
so             : 201
But            : 198
if             : 183
those          : 178
sea            : 176
time           : 172
some           : 169
were           : 168
there          : 168
upon           : 166
same           : 159
he             : 157
very           : 156
his            : 154
great          : 152
present        : 150
only           : 149
now            : 139
must           : 139
It             : 138
animals        : 138
s              : 136
living         : 135
had            : 134
two            : 134
can            : 133
what           : 130
water          : 130
out            : 128
would          : 127
forms          : 123
will           : 123
you            : 123
In             : 121
them           : 121
while          : 119
up             : 118
chalk          : 116
between        : 115
us             : 110
And            : 109
like           : 106
life           : 103
surface        : 103
first          : 102
earth          : 98
coal           : 98
ofthe          : 98
fact           : 98
less           : 97
plants         : 96
much           : 96
matter         : 95
when           : 94
our            : 94
epoch          : 93
made           : 92
animal         : 90
Footnote       : 89
bottom         : 89
If             : 88
most           : 88
me             : 86
evidence       : 85
long           : 84
years          : 84
part           : 83
form           : 81
known          : 80
do             : 79
found          : 78
work           : 77
far            : 76
place          : 76
whole          : 76
certain        : 74
over           : 74
under          : 74
being          : 73
who            : 73
before         : 71
A              : 70
through        : 70
might          : 70
my             : 69
even           : 69
nature         : 69
though         : 68
then           : 68
well           : 67
should         : 67
way            : 66
facts          : 66
different      : 65
Gutenberg      : 64
about          : 63
Project        : 63
knowledge      : 63
species        : 63
each           : 63
period         : 62
plant          : 62
science        : 62
fathoms        : 62
world          : 61
thus           : 61
many           : 60
mud            : 60
another        : 60
yet            : 60
Dr             : 59
existence      : 58
land           : 58
three          : 58
new            : 58
air            : 58
clay           : 57
does           : 57
history        : 57
however        : 57
rocks          : 57
day            : 56
Globigerinoe   : 56
substance      : 55
therefore      : 54
without        : 54
still          : 54
organisms      : 53
Thus           : 53
remains        : 53
could          : 53
Atlantic       : 53
find           : 53
bodies         : 52
parts          : 52
among          : 51
body           : 51
depths         : 51
called         : 51
formed         : 51
deg            : 50
small          : 50
similar        : 50
nor            : 50
area           : 50
deep           : 50
existing       : 49
geological     : 49
say            : 49
Miocene        : 49
taken          : 49
order          : 48
tm             : 48
Globigerina    : 48
structure      : 48
give           : 48
acid           : 47
physical       : 47
see            : 47
This           : 47
brought        : 46
case           : 46
