eistedd        : 7
Bydd           : 7
Wel            : 7
hir            : 7
amser          : 7
Haul           : 7
arall          : 7
llwyn          : 7
baban          : 7
HEN            : 7
olaf           : 7
donations      : 7
Dyffryn        : 7
YOU            : 7
ydoedd         : 7
nant           : 7
ferch          : 7
Pwy            : 7
Gwenllian      : 7
Hun            : 7
breuddwyd      : 7
son            : 7
Etext          : 7
mynyddoedd     : 7
godi           : 7
Michael        : 6
Small          : 6
ymhell         : 6
wnaf           : 6
bloeddio       : 6
pren           : 6
Cwyd           : 6
dal            : 6
ddu            : 6
deg            : 6
teimlo         : 6
gerllaw        : 6
dir            : 6
bachgen        : 6
dlawd          : 6
gwybod         : 6
dyfroedd       : 6
Print          : 6
hefyd          : 6
milwr          : 6
books          : 6
fewn           : 6
daear          : 6
ddwylaw        : 6
clychau        : 6
Ef             : 6
dyma           : 6
nag            : 6
dyna           : 6
unwaith        : 6
melyn          : 6
OF             : 6
Pa             : 6
Chwi           : 6
TO             : 6
machgen        : 6
wan            : 6
YR             : 6
Ym             : 6
wel            : 6
defaid         : 6
huno           : 6
ag             : 6
fo             : 6
gyfrol         : 6
fry            : 6
hyfryd         : 6
ysbryd         : 6
thad           : 6
Sydd           : 6
welodd         : 6
fwy            : 6
pe             : 6
hedd           : 6
Hughes         : 6
ffwrdd         : 6
flwyddyn       : 6
date           : 6
arch           : 6
Oedd           : 6
Nad            : 6
deigryn        : 6
pen            : 6
eiriau         : 6
arni           : 6
cysgu          : 6
Nis            : 6
pur            : 6
peth           : 6
Walia          : 6
Gwyn           : 6
gweddi         : 6
march          : 6
blant          : 6
Byth           : 6
Wyt            : 6
rudd           : 6
eigion         : 6
rhydd          : 6
traed          : 6
Ger            : 6
glust          : 6
deryn          : 6
uchel          : 6
oleu           : 6
ffarwel        : 6
Merch          : 6
fath           : 6
rhedeg         : 6
dyfod          : 6
llall          : 6
Peidiwch       : 6
ysgwydd        : 6
cain           : 6
daith          : 6
yntau          : 6
aur            : 6
waith          : 6
Scer           : 6
nerth          : 6
gwcw           : 6
iddi           : 6
should         : 6
only           : 6
gwyd           : 6
teg            : 5
rwyf           : 5
b              : 5
f              : 5
s              : 5
information    : 5
wele           : 5
Ynys           : 5
ymlaen         : 5
las            : 5
fyned          : 5
Ffarwel        : 5
gwrwg          : 5
Hedd           : 5
This           : 5
dwys           : 5
mynwes         : 5
undyn          : 5
Mabon          : 5
chalon         : 5
lleuad         : 5
Gwalia         : 5
bugeiliaid     : 5
rhan           : 5
Anwyl          : 5
mil            : 5
work           : 5
doriad         : 5
gwynion        : 5
year           : 5
Ai             : 5
boreu          : 5
golli          : 5
copyright      : 5
nas            : 5
diolch         : 5
fywyd          : 5
lloer          : 5
crwydro        : 5
fynych         : 5
merlen         : 5
mwyaf          : 5
Ryddid         : 5
eisieu         : 5
disgyn         : 5
gref           : 5
ganwyd         : 5
Myfanwy        : 5
golwg          : 5
fwyn           : 5
dwedyd         : 5
wir            : 5
aderyn         : 5
wna            : 5
mebyd          : 5
da             : 5
creigiau       : 5
grug           : 5
gu             : 5
oeddwn         : 5
oed            : 5
Claddasom      : 5
fud            : 5
than           : 5
pa             : 5
dreuliais      : 5
they           : 5
cwyd           : 5
Cymer          : 5
tonnau         : 5
frenin         : 5
org            : 5
Mon            : 5
grudd          : 5
heno           : 5
these          : 5
gwenu          : 5
adael          : 5
sibrwd         : 5
gweld          : 5
FOR            : 5
waed           : 5
Llances        : 5
diwedd         : 5
gwn            : 5
Neu            : 5
Difyrrwch      : 5
pell           : 5
deimlad        : 5
nghariad       : 5
Arthur         : 5
telyn          : 5
cyfaill        : 5
Gwyr           : 5
Owen           : 5
aelwyd         : 5
arian          : 5
bell           : 5
Hart           : 5
hwy            : 5
Wnaf           : 5
eneth          : 5
Aeth           : 5
Lisle          : 5
ennyd          : 5
dorri          : 5
iti            : 5
gynnes         : 5
gwallt         : 5
enaid          : 5
wedyn          : 5
gadwaf         : 5
hynt           : 5
Heb            : 5
Rhyddid        : 5
llawn          : 5
Fenai          : 5
You            : 5
phan           : 5
drain          : 5
Bardd          : 5
llyn           : 5
weddi          : 5
meddyliau      : 5
Hyd            : 5
Dowch          : 5
bopeth         : 5
nghanol        : 5
Yfory          : 5
gwir           : 5
welai          : 5
welaf          : 5
hanwyl         : 4
N              : 4
t              : 4
troed          : 4
geiriau        : 4
hart           : 4
wely           : 4
fynyddoedd     : 4
tri            : 4
eira           : 4
erch           : 4
distribute     : 4
cyn            : 4
Awn            : 4
ochor          : 4
Corn           : 4
pawb           : 4
lyn            : 4
bren           : 4
permission     : 4
frwydr         : 4
etexts         : 4
mab            : 4
magu           : 4
mel            : 4
Fyny           : 4
bron           : 4
received       : 4
dwr            : 4
ynddi          : 4
mron           : 4
flodau         : 4
arnaf          : 4
gutenberg      : 4
Tan            : 4
bwthyn         : 4
Can            : 4
gwywo          : 4
ddewr          : 4
As             : 4
estron         : 4
Wyddfa         : 4
Do             : 4
adgofion       : 4
Gymry          : 4
release        : 4
wledydd        : 4
ymyl           : 4
Hi             : 4
Fiwsig         : 4
heibio         : 4
gwneyd         : 4
gwyneb         : 4
bwrdd          : 4
sued           : 4
statement      : 4
wag            : 4
gadw           : 4
chwaon         : 4
fad            : 4
oddiwrth       : 4
llwch          : 4
ffyn           : 4
ed             : 4
fory           : 4
filwyr         : 4
Mai            : 4
gariad         : 4
ofn            : 4
lu             : 4
ne             : 4
no             : 4
fys            : 4
gwyllt         : 4
dair           : 4
so             : 4
email          : 4
tm             : 4
Mwyn           : 4
llawen         : 4
aiff           : 4
gaf            : 4
wn             : 4
gwirion        : 4
wy             : 4
eraill         : 4
Meddai         : 4
copy           : 4
byddai         : 4
drws           : 4
mhlentyn       : 4
drumiau        : 4
without        : 4
adref          : 4
Ein            : 4
araf           : 4
list           : 4
cystudd        : 4
gofal          : 4
gwenith        : 4
million        : 4
Eto            : 4
gwr            : 4
arno           : 4
gyd            : 4
GARREG         : 4
ganol          : 4
Llywelyn       : 4
hel            : 4
hiraeth        : 4
Myfi           : 4
yma            : 4
gofio          : 4
medd           : 4
hol            : 4
additional     : 4
gwddw          : 4
mlaen          : 4
thyner         : 4
gauaf          : 4
carreg         : 4
werth          : 4
hogyn          : 4
Paid           : 4
roddi          : 4
fron           : 4
anwylyd        : 4
chwilio        : 4
rai            : 4
Toriad         : 4
ran            : 4
ardal          : 4
ateb           : 4
ddau           : 4
Iesu           : 4
fryn           : 4
Mentra         : 4
Nghymru        : 4
filwr          : 4
llygaid        : 4
Pob            : 4
cant           : 4
rwy            : 4
Dafydd         : 4
more           : 4
cariad         : 4
gladdu         : 4
gyfaill        : 4
Daeth          : 4
lygad          : 4
dyddiau        : 4
feibion        : 4
ceirg          : 4
longau         : 4
South          : 4
gwel           : 4
gofyn          : 4
Garibaldi      : 4
gwiw           : 4
tuag           : 4
darllen        : 4
Rhwng          : 4
tragwyddol     : 4
reach          : 4
hwian          : 4
gloew          : 4
siwr           : 4
blodyn         : 4
tad            : 4
Imi            : 4
files          : 4
cae            : 4
gloch          : 4
wedd           : 4
febyd          : 3
electronically : 3
gwaed          : 3
D              : 3
E              : 3
characters     : 3
S              : 3
wnaet          : 3
dwed           : 3
gwrdd          : 3
gyndadau       : 3
thi            : 3
readers        : 3
llinell        : 3
fwrdro         : 3
tir            : 3
dwfn           : 3
hunain         : 3
