respect        : 10
joy            : 10
brought        : 10
powers         : 10
sight          : 10
week           : 10
example        : 10
lay            : 10
Suppose        : 10
myself         : 10
mob            : 10
hungry         : 10
sweet          : 10
told           : 10
Let            : 10
humanity       : 10
hearts         : 10
wind           : 10
strange        : 10
iron           : 10
wisest         : 10
round          : 10
French         : 10
air            : 10
educated       : 10
pleasure       : 10
guide          : 10
Then           : 9
bright         : 9
Thus           : 9
due            : 9
bishop         : 9
lost           : 9
eat            : 9
hands          : 9
learn          : 9
hardly         : 9
andthe         : 9
OR             : 9
queens         : 9
farther        : 9
To             : 9
effect         : 9
matters        : 9
honest         : 9
language       : 9
piece          : 9
second         : 9
lecture        : 9
thou           : 9
purposes       : 9
yours          : 9
Sesame         : 9
bear           : 9
instinct       : 9
rule           : 9
poet           : 9
pictures       : 9
error          : 9
YOU            : 9
taken          : 9
Him            : 9
everything     : 9
Church         : 9
degree         : 9
especially     : 9
lead           : 9
When           : 9
ready          : 9
characters     : 9
making         : 9
Life           : 9
wealth         : 9
rather         : 9
title          : 9
Lilies         : 9
breath         : 9
open           : 9
new            : 9
modern         : 9
bring          : 9
Men            : 9
sympathy       : 9
pretty         : 9
hills          : 9
folly          : 9
service        : 9
cause          : 9
facts          : 9
consider       : 9
neither        : 9
hold           : 9
heard          : 9
Lord           : 9
king           : 9
large          : 9
foolish        : 9
morning        : 9
natural        : 9
rock           : 9
half           : 8
d              : 8
t              : 8
Are            : 8
watch          : 8
unjust         : 8
flowers        : 8
partly         : 8
Lady           : 8
text           : 8
remember       : 8
Of             : 8
gain           : 8
needs          : 8
likely         : 8
places         : 8
souls          : 8
flower         : 8
deeper         : 8
treasures      : 8
thatthe        : 8
school         : 8
alike          : 8
questions      : 8
thereis        : 8
friends        : 8
Latin          : 8
advancement    : 8
letter         : 8
tothe          : 8
Irish          : 8
Yet            : 8
sentence       : 8
high           : 8
virtue         : 8
reach          : 8
weak           : 8
lover          : 8
past           : 8
mine           : 8
Your           : 8
habit          : 8
usually        : 8
ideal          : 8
allow          : 8
voice          : 8
cruel          : 8
toil           : 8
moral          : 8
practice       : 8
chosen         : 8
NOT            : 8
date           : 8
manner         : 8
gives          : 8
Not            : 8
clear          : 8
intellect      : 8
favourite      : 8
instance       : 8
Have           : 8
wonder         : 8
accuracy       : 8
mighty         : 8
royal          : 8
begin          : 8
paragraph      : 8
idle           : 8
thy            : 7
besides        : 7
times          : 7
probably       : 7
distribute     : 7
water          : 7
going          : 7
known          : 7
stand          : 7
witness        : 7
sorrow         : 7
seven          : 7
clouds         : 7
Be             : 7
GUTENBERG      : 7
IS             : 7
estate         : 7
Perhaps        : 7
