Bihaura        : 18
making         : 18
Ukiukiu        : 18
fell           : 18
Typee          : 18
Francisco      : 18
return         : 18
stood          : 18
beautiful      : 17
die            : 17
known          : 17
Gutenberg      : 17
pounds         : 17
walk           : 17
present        : 17
full           : 17
particular     : 17
sleep          : 17
kept           : 17
wide           : 17
pig            : 17
coming         : 17
Our            : 17
jungle         : 17
both           : 17
fresh          : 17
inches         : 17
sand           : 17
says           : 17
tell           : 17
San            : 17
grass          : 17
self           : 17
sent           : 17
CHAPTER        : 17
fellow         : 17
part           : 17
nearly         : 17
Hawaiian       : 17
riding         : 17
passed         : 17
heard          : 17
inside         : 17
yaws           : 17
steering       : 17
short          : 16
thick          : 16
Nakata         : 16
ve             : 16
Malaita        : 16
suddenly       : 16
With           : 16
received       : 16
breaker        : 16
valley         : 16
rolling        : 16
book           : 16
Jansen         : 16
steamer        : 16
write          : 16
ship           : 16
taken          : 16
either         : 16
Never          : 16
sight          : 16
size           : 16
mountain       : 16
thirty         : 16
chest          : 16
give           : 16
vessel         : 16
space          : 16
carried        : 16
P              : 15
gone           : 15
Naulu          : 15
compass        : 15
Since          : 15
sublimate      : 15
almost         : 15
weight         : 15
mere           : 15
Greenwich      : 15
filled         : 15
minute         : 15
drive          : 15
earth          : 15
launch         : 15
Settlement     : 15
teeth          : 15
believe        : 15
keep           : 15
alone          : 15
comes          : 15
instance       : 15
position       : 15
crater         : 15
strength       : 15
coral          : 15
windward       : 15
Thus           : 15
clouds         : 15
lines          : 15
rifles         : 15
stern          : 15
close          : 15
afternoon      : 15
skin           : 15
feel           : 15
felt           : 15
wrote          : 15
catch          : 15
weather        : 15
turn           : 14
de             : 14
dream          : 14
Well           : 14
able           : 14
poor           : 14
letter         : 14
watched        : 14
Her            : 14
sixty          : 14
lie            : 14
open           : 14
toward         : 14
certain        : 14
blow           : 14
cost           : 14
pay            : 14
Three          : 14
English        : 14
Henry          : 14
village        : 14
learn          : 14
andthe         : 14
climbed        : 14
race           : 14
happened       : 14
tooth          : 14
seas           : 14
Tahiti         : 14
garden         : 14
natives        : 14
cloud          : 14
following      : 14
Tahaa          : 14
human          : 14
Just           : 14
Some           : 14
boats          : 14
lived          : 14
together       : 14
ought          : 14
lagoon         : 14
ago            : 14
rode           : 14
S              : 13
taking         : 13
flowers        : 13
knows          : 13
due            : 13
navigator      : 13
Every          : 13
spent          : 13
need           : 13
discovered     : 13
Once           : 13
impossible     : 13
longer         : 13
jib            : 13
different      : 13
passage        : 13
less           : 13
mer            : 13
writing        : 13
afflicted      : 13
per            : 13
Nor            : 13
clear          : 13
California     : 13
building       : 13
squalls        : 13
forward        : 13
often          : 13
looking        : 13
beneath        : 13
bush           : 13
Why            : 13
showed         : 13
tothe          : 13
shot           : 13
added          : 13
carry          : 13
corrosive      : 13
true           : 13
trades         : 13
calm           : 13
Maui           : 13
bed            : 13
box            : 13
Islands        : 12
Ford           : 12
remained       : 12
main           : 12
dry            : 12
bath           : 12
stop           : 12
driving        : 12
OF             : 12
black          : 12
huge           : 12
appeared       : 12
beat           : 12
mean           : 12
hot            : 12
reached        : 12
United         : 12
nine           : 12
worse          : 12
fifty          : 12
wonderful      : 12
among          : 12
thousands      : 12
non            : 12
itwas          : 12
ditch          : 12
noon           : 12
islands        : 12
schooner       : 12
score          : 12
morrow         : 12
getting        : 12
chance         : 12
mainsail       : 12
Darling        : 12
direction      : 12
stars          : 12
running        : 12
sound          : 12
anyway         : 12
certainly      : 12
reason         : 12
broken         : 12
Yes            : 12
South          : 12
merely         : 12
whose          : 12
craft          : 12
wrong          : 12
mizzen         : 12
seemed         : 12
date           : 12
trying         : 12
goes           : 12
rose           : 11
cut            : 11
seventy        : 11
outside        : 11
died           : 11
From           : 11
sure           : 11
cocoanut       : 11
wall           : 11
circle         : 11
meat           : 11
trough         : 11
free           : 11
lifted         : 11
distance       : 11
eaten          : 11
developed      : 11
theother       : 11
doctor         : 11
log            : 11
alongside      : 11
failed         : 11
sweet          : 11
rolled         : 11
Let            : 11
States         : 11
sliding        : 11
clean          : 11
evening        : 11
red            : 11
proved         : 11
nature         : 11
idea           : 11
save           : 11
state          : 11
cure           : 11
