the            : 5037
of             : 3084
and            : 2627
to             : 2280
in             : 1401
a              : 1364
is             : 929
he             : 895
The            : 801
his            : 766
I              : 722
with           : 659
it             : 635
not            : 620
that           : 580
be             : 565
was            : 544
on             : 489
for            : 476
are            : 475
from           : 432
as             : 415
you            : 414
they           : 401
this           : 384
s              : 380
have           : 375
all            : 374
him            : 373
said           : 356
their          : 348
by             : 329
which          : 318
one            : 315
who            : 315
there          : 308
my             : 304
at             : 292
them           : 292
or             : 290
will           : 287
but            : 249
man            : 244
And            : 234
Master         : 234
were           : 233
when           : 219
When           : 215
an             : 212
we             : 201
me             : 198
men            : 198
our            : 196
do             : 192
your           : 190
Buddha         : 190
In             : 188
so             : 187
had            : 187
would          : 182
where          : 181
what           : 179
no             : 177
Tsz            : 174
has            : 170
may            : 160
people         : 157
A              : 153
king           : 152
He             : 145
Footnote       : 144
about          : 139
great          : 139
place          : 135
those          : 126
if             : 123
been           : 123
But            : 120
its            : 120
then           : 120
should         : 120
can            : 117
If             : 112
such           : 111
her            : 111
out            : 109
go             : 108
any            : 108
how            : 107
To             : 106
good           : 105
three          : 103
more           : 102
after          : 99
make           : 99
now            : 98
It             : 97
up             : 97
hundred        : 97
without        : 97
There          : 96
day            : 96
two            : 94
upon           : 94
shall          : 93
these          : 93
made           : 92
Confucius      : 92
also           : 91
They           : 88
On             : 87
My             : 86
replied        : 86
work           : 86
way            : 86
into           : 86
What           : 85
country        : 85
years          : 85
being          : 84
went           : 83
come           : 83
time           : 83
monks          : 82
asked          : 82
only           : 79
yet            : 79
other          : 79
came           : 78
four           : 77
like           : 77
than           : 77
King           : 75
days           : 75
heart          : 75
OF             : 74
Fa             : 73
With           : 73
say            : 73
long           : 73
did            : 72
As             : 72
city           : 71
over           : 71
first          : 71
still          : 71
himself        : 70
down           : 70
some           : 70
take           : 69
away           : 69
know           : 68
must           : 68
here           : 67
How            : 65
Let            : 65
life           : 65
could          : 65
Gutenberg      : 64
lu             : 64
others         : 64
mind           : 63
own            : 63
Project        : 63
This           : 63
never          : 63
Ts             : 62
hien           : 62
name           : 62
us             : 60
does           : 60
Heaven         : 59
well           : 59
high           : 59
each           : 59
At             : 58
see            : 58
whom           : 57
prince         : 57
K              : 56
superior       : 56
five           : 56
words          : 55
might          : 55
things         : 55
nor            : 54
having         : 53
Han            : 53
Majesty        : 53
vihara         : 53
thousand       : 52
am             : 52
she            : 52
called         : 52
Yen            : 52
many           : 51
We             : 51
old            : 51
same           : 51
O              : 50
His            : 50
once           : 50
seven          : 50
tope           : 50
home           : 50
put            : 49
again          : 49
large          : 49
right          : 49
kung           : 49
give           : 49
tree           : 49
back           : 48
So             : 48
far            : 48
tm             : 48
found          : 48
east           : 48
seen           : 47
part           : 47
offerings      : 46
small          : 46
left           : 46
through        : 46
kingdom        : 46
among          : 45
BOOK           : 45
government     : 45
State          : 45
All            : 44
Of             : 44
let            : 44
another        : 44
indeed         : 44
find           : 44
death          : 43
Emperor        : 43
though         : 43
even           : 43
THE            : 43
while          : 43
Wan            : 43
cannot         : 43
food           : 42
full           : 42
Law            : 42
disciple       : 42
under          : 42
land           : 41
After          : 41
round          : 41
hand           : 41
That           : 41
show           : 41
forth          : 40
You            : 40
every          : 40
trees          : 39
Yu             : 39
li             : 39
before         : 39
present        : 39
disciples      : 39
father         : 39
love           : 39
Where          : 39
thus           : 39
CHAPTER        : 39
took           : 39
ground         : 39
set            : 38
virtue         : 38
person         : 38
night          : 38
themselves     : 37
Ch             : 37
From           : 37
able           : 37
done           : 37
Chinese        : 37
use            : 37
side           : 37
thought        : 37
became         : 36
towards        : 36
ang            : 36
order          : 35
exclaimed      : 35
very           : 35
wish           : 35
Our            : 35
Again          : 35
rest           : 35
used           : 35
i              : 34
question       : 34
Chow           : 34
west           : 34
alone          : 34
Duke           : 34
answered       : 34
son            : 34
look           : 34
head           : 34
rules          : 34
much           : 34
speak          : 34
E              : 33
year           : 33
brought        : 33
body           : 33
says           : 33
heard          : 33
times          : 32
er             : 32
most           : 32
gave           : 32
south          : 32
gone           : 31
No             : 31
For            : 31
become         : 31
chang          : 31
hill           : 31
Is             : 30
got            : 30
nirvana        : 30
works          : 30
different      : 30
live           : 30
six            : 30
regard         : 30
empire         : 30
whose          : 30
palace         : 30
going          : 29
China          : 29
Ki             : 29
form           : 29
remarked       : 29
bear           : 29
between        : 29
Three          : 29
Now            : 29
light          : 29
state          : 29
built          : 29
hear           : 29
course         : 29
however        : 29
means          : 29
twenty         : 29
whole          : 29
Some           : 29
attained       : 29
ODES           : 29
given          : 29
near           : 28
Ah             : 28
world          : 28
keep           : 28
saw            : 28
India          : 28
hands          : 28
white          : 28
together       : 28
cubits         : 27
immediately    : 27
friends        : 27
proper         : 27
Here           : 27
ofthe          : 27
While          : 27
family         : 27
hold           : 27
within         : 27
return         : 27
case           : 27
ministers      : 27
thing          : 26
common         : 26
monastery      : 26
Hwuy           : 26
An             : 26
end            : 26
places         : 26
get            : 26
meet           : 26
poor           : 26
number         : 26
saying         : 26
Wife           : 26
Your           : 26
travellers     : 26
off            : 26
wild           : 26
service        : 26
Then           : 26
topes          : 26
gate           : 26
sent           : 26
Why            : 26
parents        : 26
bring          : 26
age            : 26
last           : 25
new            : 25
along          : 25
both           : 25
too            : 25
water          : 25
observed       : 25
lord           : 25
word           : 25
ruler          : 25
north          : 25
Each           : 25
Mencius        : 25
call           : 25
think          : 24
dynasty        : 24
distance       : 24
none           : 24
kings          : 24
comes          : 24
little         : 24
various        : 24
EMPEROR        : 24
appear         : 24
paces          : 24
music          : 24
hills          : 24
chief          : 24
public         : 24
rock           : 24
Their          : 23
bright         : 23
Lu             : 23
eight          : 23
Her            : 23
yojanas        : 23
account        : 23
sad            : 23
eyes           : 23
ten            : 23
former         : 23
seek           : 23
terms          : 23
Who            : 23
true           : 23
care           : 23
e              : 22
o              : 22
By             : 22
Wu             : 22
power          : 22
rule           : 22
nothing        : 22
earth          : 22
door           : 22
against        : 22
wife           : 22
duty           : 22
princess       : 22
sun            : 22
occasion       : 22
fellow         : 22
because        : 22
around         : 22
spirits        : 22
enough         : 22
Such           : 22
minister       : 21
died           : 21
Once           : 21
ill            : 21
month          : 21
thoughts       : 21
image          : 21
May            : 21
States         : 21
hall           : 21
top            : 21
stand          : 21
rain           : 21
families       : 21
young          : 21
court          : 21
face           : 21
officers       : 21
Tsang          : 21
wished         : 21
flowers        : 20
study          : 20
ways           : 20
Well           : 20
perfect        : 20
Foundation     : 20
Its            : 20
met            : 20
Those          : 20
Nor            : 20
bowl           : 20
doing          : 20
hard           : 20
returned       : 20
named          : 20
till           : 20
Wei            : 20
principles     : 20
Rules          : 20
making         : 20
living         : 20
Sakyamuni      : 19
remain         : 19
few            : 19
grow           : 19
second         : 19
reply          : 19
master         : 19
received       : 19
ever           : 19
Chung          : 19
sat            : 19
sir            : 19
bound          : 19
sky            : 19
forward        : 19
feeling        : 19
Great          : 19
South          : 19
pass           : 19
feet           : 19
desire         : 19
electronic     : 19
mother         : 19
yourself       : 19
river          : 19
pleasure       : 19
incense        : 19
die            : 18
Chief          : 18
black          : 18
presented      : 18
ll             : 18
follow         : 18
lady           : 18
heaven         : 18
Propriety      : 18
Wisdom         : 18
persons        : 18
vain           : 18
fifty          : 18
wind           : 18
wise           : 18
serve          : 18
coming         : 18
therefore      : 18
spirit         : 18
try            : 18
steps          : 18
according      : 18
taken          : 18
following      : 18
rather         : 18
rich           : 18
Odes           : 18
cause          : 18
act            : 18
latter         : 18
gold           : 17
T              : 17
known          : 17
eat            : 17
Hwui           : 17
eye            : 17
envoy          : 17
noble          : 17
want           : 17
hia            : 17
answer         : 17
free           : 17
looked         : 17
duties         : 17
drink          : 17
mourning       : 17
above          : 17
DECADE         : 17
Book           : 17
yellow         : 17
Not            : 17
Officer        : 17
Yuen           : 17
grass          : 17
spring         : 17
looking        : 17
thee           : 17
held           : 17
whether        : 17
minded         : 17
North          : 17
thirty         : 17
pari           : 17
fell           : 17
Buddhist       : 17
spot           : 17
office         : 17
store          : 17
D              : 16
cut            : 16
Lady           : 16
honored        : 16
need           : 16
matters        : 16
dress          : 16
wall           : 16
Enter          : 16
laws           : 16
low            : 16
Like           : 16
worthy         : 16
height         : 16
allow          : 16
students       : 16
brother        : 16
Alas           : 16
steeds         : 16
arrived        : 16
evil           : 16
receive        : 16
millions       : 16
moon           : 16
beauty         : 16
subject        : 16
sorrow         : 16
learn          : 16
why            : 16
precious       : 16
help           : 16
appearance     : 16
grief          : 16
Kung           : 16
agreement      : 16
gather         : 16
ProjectGutenberg: 16
Asoka          : 16
dignity        : 16
Buddhism       : 16
passed         : 16
just           : 16
sons           : 16
summer         : 16
fine           : 16
bad            : 16
road           : 16
yu             : 15
meal           : 15
God            : 15
entered        : 15
kept           : 15
turned         : 15
Ananda         : 15
learning       : 15
pure           : 15
copy           : 15
hearts         : 15
followed       : 15
strong         : 15
tis            : 15
grain          : 15
wood           : 15
fields         : 15
green          : 15
sound          : 15
Bodhisattva    : 15
fair           : 15
East           : 15
fast           : 15
sheep          : 15
front          : 15
afterwards     : 15
complete       : 15
Husband        : 15
affairs        : 15
manner         : 15
soon           : 15
cease          : 15
d              : 14
t              : 14
better         : 14
taking         : 14
These          : 14
short          : 14
further        : 14
Since          : 14
sure           : 14
fly            : 14
