set       : 8
several   : 8
morning   : 8
GUERRE    : 7
gone      : 7
cut       : 7
These     : 7
house     : 7
ALACK     : 7
learnt    : 7
bred      : 7
JAMES     : 7
being     : 7
TUM       : 7
Bun       : 7
look      : 7
Till      : 7
JASPER    : 7
agreed    : 7
Do        : 7
below     : 7
GEORGIE   : 7
BROWN     : 7
plan      : 7
Mantelpiece: 7
why       : 7
various   : 7
won       : 7
em        : 7
croquet   : 7
gay       : 7
COLONEL   : 7
yours     : 7
particularly: 7
hat       : 7
bear      : 7
meet      : 7
ill       : 7
grief     : 7
excellent : 7
weeks     : 7
Foundation: 7
takes     : 7
Hot       : 7
sick      : 7
weep      : 7
played    : 7
lad       : 7
lay       : 7
does      : 7
pale      : 7
part      : 7
pass      : 7
COBB      : 7
winked    : 7
myself    : 7
ROBINSON  : 7
First     : 7
felt      : 7
around    : 7
Let       : 7
Cross     : 7
along     : 7
girls     : 7
JOOLES    : 7
seemed    : 7
cold      : 7
ground    : 7
humble    : 7
lips      : 7
English   : 7
MAHRY     : 7
VOLLAIRE  : 7
Especially: 7
summer    : 7
father    : 7
pride     : 7
truth     : 7
speak     : 7
ask       : 7
run       : 7
sad       : 7
sat       : 7
boys      : 7
SIMON     : 7
sin       : 7
BAGG      : 7
son       : 7
sun       : 7
makes     : 7
C         : 6
roll      : 6
P         : 6
r         : 6
sang      : 6
walked    : 6
rose      : 6
beautiful : 6
Are       : 6
ANGUS     : 6
shore     : 6
barely    : 6
water     : 6
TEH       : 6
die       : 6
priest    : 6
crime     : 6
stand     : 6
THAT      : 6
Print     : 6
mate      : 6
Ah        : 6
Be        : 6
learn     : 6
BERKELY   : 6
kindly    : 6
tried     : 6
hatchet   : 6
MY        : 6
shame     : 6
DUM       : 6
pounds    : 6
another   : 6
white     : 6
Policeman : 6
next      : 6
JOHNNY    : 6
fee       : 6
sure      : 6
ah        : 6
rare      : 6
four      : 6
Don       : 6
oo        : 6
CALAMITY  : 6
FOR       : 6
understand: 6
gun       : 6
Sassenach : 6
almost    : 6
till      : 6
wasn      : 6
having    : 6
swore     : 6
hit       : 6
point     : 6
mean      : 6
BUNGALEE  : 6
Upon      : 6
indeed    : 6
choose    : 6
nothing   : 6
longer    : 6
eaten     : 6
daughter  : 6
MAKREDI   : 6
BALLADS   : 6
dinner    : 6
vain      : 6
drink     : 6
world     : 6
high      : 6
ALICE     : 6
social    : 6
dreadful  : 6
AGIB      : 6
surgeon   : 6
Small     : 6
matter    : 6
SHAKESPEARE: 6
pair      : 6
low       : 6
oysters   : 6
door      : 6
Will      : 6
past      : 6
human     : 6
fear      : 6
terrible  : 6
wicked    : 6
fell      : 6
BORRIA    : 6
against   : 6
Sunday    : 6
CLEGGS    : 6
nearly    : 6
nor       : 6
lived     : 6
ELVIRA    : 6
keep      : 6
alone     : 6
Although  : 6
drew      : 6
settled   : 6
none      : 6
dare      : 6
note      : 6
nose      : 6
PREPERE   : 6
blue      : 6
stock     : 6
light     : 6
sailors   : 6
KING      : 6
HOOPER    : 6
tale      : 6
train     : 6
Hart      : 6
rollicking: 6
return    : 6
smile     : 6
fill      : 6
hour      : 6
sought    : 6
POP       : 6
tight     : 6
ago       : 6
air       : 6
aps       : 6
Love      : 6
beg       : 6
stood     : 6
stout     : 6
really    : 6
B         : 5
turn      : 5
gold      : 5
o         : 5
straight  : 5
information: 5
besides   : 5
serious   : 5
famous    : 5
thousand  : 5
pipe      : 5
became    : 5
pity      : 5
cum       : 5
short     : 5
shoes     : 5
taught    : 5
stage     : 5
under     : 5
baby      : 5
December  : 5
woke      : 5
sorrow    : 5
themselves: 5
seems     : 5
naughty   : 5
leave     : 5
end       : 5
Ha        : 5
IF        : 5
Mr        : 5
Royal     : 5
green     : 5
wed       : 5
happened  : 5
rank      : 5
bo        : 5
Poor      : 5
de        : 5
woe       : 5
piece     : 5
foe       : 5
ha        : 5
placed    : 5
la        : 5
lo        : 5
City      : 5
noble     : 5
Dum       : 5
Archive   : 5
thee      : 5
seem      : 5
Literary  : 5
WAY       : 5
ye        : 5
POLTER    : 5
gig       : 5
harmless  : 5
youth     : 5
reader    : 5
sneer     : 5
burn      : 5
walk      : 5
ghosts    : 5
sighed    : 5
laws      : 5
beer      : 5
calls     : 5
certainly : 5
stern     : 5
nice      : 5
dears     : 5
PRINCE    : 5
isn       : 5
REVEREND  : 5
touch     : 5
watched   : 5
rest      : 5
CLONGLOCKETTY: 5
words     : 5
party     : 5
Hum       : 5
Besides   : 5
sailed    : 5
stopped   : 5
virtue    : 5
teeth     : 5
wear      : 5
While     : 5
spoke     : 5
legs      : 5
Michael   : 5
size      : 5
TUPPER    : 5
check     : 5
Young     : 5
lover     : 5
less      : 5
Jew       : 5
pain      : 5
paid      : 5
means     : 5
Like      : 5
affair    : 5
Queen     : 5
particular: 5
CAPEL     : 5
easy      : 5
legal     : 5
Because   : 5
month     : 5
permission: 5
stick     : 5
received  : 5
believe   : 5
dirty     : 5
proper    : 5
because   : 5
Observe   : 5
family    : 5
copyright : 5
release   : 5
Just      : 5
nasty     : 5
tore      : 5
ring      : 5
board     : 5
bring     : 5
kept      : 5
turned    : 5
Christian : 5
treated   : 5
selvagee  : 5
copy      : 5
date      : 5
wild      : 5
wise      : 5
pay       : 5
New       : 5
working   : 5
wickedness: 5
Would     : 5
put       : 5
foster    : 5
listen    : 5
neither   : 5
glad      : 5
holy      : 5
home      : 5
file      : 5
favourite : 5
drove     : 5
soup      : 5
ought     : 5
agree     : 5
danced    : 5
donations : 5
finger    : 5
public    : 5
array     : 5
French    : 5
morrow    : 5
faults    : 5
Bishops   : 5
Twas      : 5
noticed   : 5
rum       : 5
camp      : 5
mouth     : 5
care      : 5
bed       : 5
six       : 5
anger     : 5
behind    : 5
highly    : 5
mortal    : 5
lovely    : 5
weather   : 5
chuckled  : 5
stately   : 5
BAB       : 5
clothes   : 5
ordered   : 4
blood     : 4
sank      : 4
room      : 4
order     : 4
save      : 4
question  : 4
MADAME    : 4
gown      : 4
plenty    : 4
cup       : 4
moment    : 4
distribute: 4
shook     : 4
glass     : 4
stare     : 4
start     : 4
reckoned  : 4
planned   : 4
friendly  : 4
dim       : 4
Colonial  : 4
TOL       : 4
TOM       : 4
brig      : 4
known     : 4
maintop   : 4
pantomime : 4
main      : 4
DOODLE    : 4
dry       : 4
ball      : 4
curl      : 4
bang      : 4
remember  : 4
mamma     : 4
woos      : 4
mast      : 4
lose      : 4
across    : 4
soldier   : 4
spend     : 4
instead   : 4
hands     : 4
AH        : 4
hardly    : 4
DOH       : 4
cell      : 4
MI        : 4
yell      : 4
trick     : 4
dreamt    : 4
France    : 4
news      : 4
wan       : 4
EBOOK     : 4
looks     : 4
laughed   : 4
game      : 4
attention : 4
fond      : 4
Did       : 4
Replied   : 4
tears     : 4
ho        : 4
appeared  : 4
knee      : 4
author    : 4
singular  : 4
email     : 4
HOPLEY    : 4
single    : 4
tm        : 4
thin      : 4
power     : 4
brain     : 4
ended     : 4
proud     : 4
ghostly   : 4
resolved  : 4
shocking  : 4
million   : 4
charity   : 4
pleasures : 4
Once      : 4
Was       : 4
early     : 4
yet       : 4
colour    : 4
beat      : 4
stripling : 4
FILLETTE  : 4
blame     : 4
dropped   : 4
bent      : 4
Were      : 4
Caribbee  : 4
respectable: 4
afraid    : 4
After     : 4
boldly    : 4
imp       : 4
sinner    : 4
sorter    : 4
blush     : 4
respect   : 4
skipped   : 4
madly     : 4
number    : 4
coxswain  : 4
copies    : 4
read      : 4
goodness  : 4
taken     : 4
Had       : 4
either    : 4
shot      : 4
learned   : 4
penny     : 4
delicate  : 4
gent      : 4
waist     : 4
babies    : 4
Jack      : 4
afternoon : 4
entered   : 4
North     : 4
BLENNERHASSET: 4
whoHad    : 4
crown     : 4
South     : 4
joke      : 4
sigh      : 4
different : 4
Before    : 4
cross     : 4
declined  : 4
earth     : 4
cunning   : 4
scene     : 4
declare   : 4
nights    : 4
Give      : 4
place     : 4
plain     : 4
officers  : 4
thank     : 4
others    : 4
making    : 4
society   : 4
gaily     : 4
produce   : 4
law       : 4
led       : 4
wandered  : 4
lie       : 4
Court     : 4
provide   : 4
wealth    : 4
merry     : 4
bill      : 4
whose     : 4
bird      : 4
brothers  : 4
served    : 4
breath    : 4
gutenberg : 4
aboard    : 4
gather    : 4
rich      : 4
swear     : 4
Some      : 4
new       : 4
clumsy    : 4
statement : 4
BISHOP    : 4
whim      : 4
peace     : 4
actor     : 4
carry     : 4
Ghosts    : 4
vest      : 4
coat      : 4
fight     : 4
ancient   : 4
twelve    : 4
blew      : 4
wide      : 4
chains    : 4
dark      : 4
blow      : 4
prison    : 4
folly     : 4
sages     : 4
wisdom    : 4
pet       : 4
Among     : 4
intended  : 4
PORTER    : 4
given     : 4
crimes    : 4
collared  : 4
grieved   : 4
bottle    : 4
tail      : 4
absurd    : 4
Roll      : 4
additional: 4
PATTISON  : 4
heavy     : 4
painted   : 4
Still     : 4
together  : 4
pleasant  : 4
hose      : 4
sort      : 4
since     : 4
fire      : 4
fish      : 4
mutton    : 4
wonder    : 4
Our       : 4
spake     : 4
jealous   : 4
trade     : 4
scorn     : 4
robber    : 4
red       : 4
sorry     : 4
HERBERT   : 4
mighty    : 4
already   : 4
until     : 4
parson    : 4
taste     : 4
PISH      : 4
Bang      : 4
cried     : 4
art       : 4
yourself  : 4
bone      : 4
Bart      : 4
born      : 4
bore      : 4
bab       : 4
suffer    : 4
greatly   : 4
dead      : 4
proved    : 4
REH       : 4
getting   : 4
living    : 4
midshipmite: 4
bound     : 4
bid       : 4
big       : 4
bit       : 4
foolish   : 4
cursed    : 4
ROL       : 4
clerks    : 4
pleasure  : 4
store     : 4
story     : 4
wooing    : 4
doing     : 4
road      : 4
nobody    : 4
sympathetic: 4
sail      : 4
hail      : 4
D         : 3
N         : 3
R         : 3
salt      : 3
corns     : 3
readers   : 3
SHE       : 3
laugh     : 3
harp      : 3
simpered  : 3
taking    : 3
Gave      : 3
Sabbath   : 3
women     : 3
cot       : 3
WIPPITY   : 3
BOO       : 3
bachelor  : 3
Than      : 3
sketch    : 3
Village   : 3
Art       : 3
manly     : 3
dread     : 3
attack    : 3
BUT       : 3
services  : 3
thine     : 3
HUGH      : 3
shoot     : 3
hours     : 3
golden    : 3
Thou      : 3
performed : 3
suitor    : 3
Madeira   : 3
island    : 3
CAN       : 3
third     : 3
further   : 3
CHARLES   : 3
business  : 3
stealing  : 3
Sir       : 3
Six       : 3
company   : 3
babe      : 3
grand     : 3
thick     : 3
nurse     : 3
Admiralty : 3
subject   : 3
liked     : 3
likes     : 3
reckless  : 3
meaning   : 3
band      : 3
Lane      : 3
expression: 3
treat     : 3
Secretary : 3
lord      : 3
interest  : 3
disagree  : 3
lost      : 3
secret    : 3
winter    : 3
walking   : 3
undaunted : 3
whispered : 3
Prius     : 3
awful     : 3
neat      : 3
BE        : 3
BY        : 3
DID       : 3
Tis       : 3
official  : 3
need      : 3
Whene     : 3
TORBAY    : 3
http      : 3
START     : 3
HE        : 3
IN        : 3
Ho        : 3
IS        : 3
IV        : 3
asked     : 3
ere       : 3
strongest : 3
Ma        : 3
NO        : 3
eve       : 3
Scotchman : 3
Two       : 3
waved     : 3
wanted    : 3
horror    : 3
St        : 3
exclaimed : 3
VE        : 3
cousins   : 3
trademark : 3
window    : 3
prized    : 3
fat       : 3
double    : 3
suit      : 3
wet       : 3
grim      : 3
sugar     : 3
remark    : 3
died      : 3
wig       : 3
DREAM     : 3
fit       : 3
Pooh      : 3
haunted   : 3
looking   : 3
needs     : 3
Shakesperian: 3
phantom   : 3
END       : 3
feather   : 3
lively    : 3
Nisi      : 3
places    : 3
dregs     : 3
feeling   : 3
flowing   : 3
gaze      : 3
somehow   : 3
readily   : 3
PHOEBE    : 3
January   : 3
FRED      : 3
seek      : 3
doggerel  : 3
souls     : 3
rules     : 3
TOMMY     : 3
etext     : 3
teach     : 3
type      : 3
south     : 3
self      : 3
sound     : 3
POLL      : 3
curious   : 3
send      : 3
costs     : 3
CORBY     : 3
advowson  : 3
invisibility: 3
POOH      : 3
lights    : 3
THOMAS    : 3
returned  : 3
murder    : 3
FOL       : 3
considered: 3
WAGGETY   : 3
passengers: 3
musical   : 3
unhappy   : 3
native    : 3
names     : 3
MACPHAIRSON: 3
liability : 3
replied   : 3
land      : 3
conduct   : 3
grieve    : 3
crowds    : 3
convict   : 3
secure    : 3
JENNY     : 3
sword     : 3
chap      : 3
PEPPERMINT: 3
Only      : 3
meal      : 3
beef      : 3
delighted : 3
opportunity: 3
bulky     : 3
dissipated: 3
hot       : 3
chin      : 3
answer    : 3
questions : 3
reply     : 3
Foo       : 3
muttered  : 3
although  : 3
action    : 3
bell      : 3
reached   : 3
Right     : 3
eight     : 3
forged    : 3
forget    : 3
mess      : 3
Each      : 3
exclaiming: 3
pointed   : 3
rude      : 3
babes     : 3
worldly   : 3
blushed   : 3
melancholy: 3
whenever  : 3
Howler    : 3
dressed   : 3
refund    : 3
Stand     : 3
fame      : 3
death     : 3
fortune   : 3
East      : 3
shortly   : 3
fate      : 3
trueOf    : 3
fast      : 3
nine      : 3
post      : 3
shell     : 3
port      : 3
income    : 3
monarch   : 3
Forty     : 3
property  : 3
volumes   : 3
silver    : 3
using     : 3
deeds     : 3
notion    : 3
broker    : 3
Great     : 3
longed    : 3
chopped   : 3
Assesmilk : 3
