the            : 9087
and            : 3851
to             : 3423
a              : 3079
of             : 3045
in             : 1977
he             : 1660
was            : 1613
s              : 1605
that           : 1479
his            : 1466
you            : 1418
I              : 1384
it             : 1347
on             : 1318
The            : 1246
with           : 1072
had            : 1055
t              : 1045
Boy            : 943
up             : 916
for            : 908
as             : 866
at             : 850
Colonel        : 826
out            : 767
He             : 672
said           : 652
they           : 640
him            : 606
but            : 604
all            : 570
not            : 468
by             : 465
down           : 459
be             : 450
this           : 426
is             : 424
Mac            : 424
man            : 415
one            : 404
But            : 399
from           : 397
or             : 394
like           : 389
You            : 385
were           : 384
It             : 380
got            : 377
no             : 369
there          : 369
back           : 359
an             : 356
we             : 355
little         : 354
No             : 346
about          : 343
have           : 338
if             : 337
so             : 331
her            : 315
here           : 311
They           : 300
when           : 296
go             : 291
been           : 288
ll             : 282
who            : 280
Nicholas       : 270
o              : 264
some           : 262
over           : 260
do             : 256
more           : 254
And            : 249
she            : 249
would          : 245
men            : 241
their          : 241
see            : 240
went           : 238
what           : 236
them           : 233
time           : 233
me             : 232
Oh             : 231
now            : 231
d              : 230
come           : 230
get            : 228
only           : 226
into           : 225
What           : 223
know           : 222
ve             : 219
came           : 219
my             : 218
can            : 216
eyes           : 215
good           : 211
two            : 210
your           : 207
other          : 207
after          : 206
are            : 200
off            : 198
Well           : 197
way            : 197
head           : 196
before         : 192
looked         : 192
Kaviak         : 192
just           : 192
any            : 191
Potts          : 190
don            : 186
snow           : 183
could          : 181
than           : 179
old            : 178
turned         : 171
face           : 170
even           : 169
then           : 169
Father         : 168
still          : 168
made           : 166
day            : 165
again          : 165
say            : 165
ice            : 164
Yes            : 164
She            : 160
long           : 159
himself        : 158
re             : 158
away           : 157
A              : 156
We             : 155
O              : 153
how            : 153
think          : 151
Flynn          : 148
seemed         : 148
fire           : 147
too            : 146
When           : 145
much           : 145
round          : 143
half           : 142
did            : 141
hand           : 139
very           : 138
first          : 138
till           : 137
last           : 136
river          : 136
stood          : 136
m              : 135
well           : 135
right          : 134
us             : 133
white          : 131
where          : 130
look           : 130
gold           : 128
Maudie         : 128
going          : 126
didn           : 126
says           : 126
make           : 125
night          : 123
take           : 120
under          : 119
great          : 119
In             : 118
looking        : 117
Then           : 116
dogs           : 115
work           : 115
thought        : 115
There          : 114
will           : 113
door           : 111
never          : 111
left           : 110
Why            : 110
something      : 110
far            : 109
That           : 109
saw            : 107
sat            : 106
Minook         : 105
must           : 104
thing          : 103
big            : 103
without        : 102
camp           : 102
put            : 101
trail          : 101
through        : 100
took           : 100
Nig            : 99
hands          : 99
called         : 98
feet           : 98
sled           : 98
new            : 96
place          : 96
home           : 96
side           : 95
own            : 94
dog            : 93
our            : 92
tell           : 92
Muckluck       : 90
held           : 90
found          : 89
set            : 89
Yukon          : 89
If             : 88
along          : 87
while          : 87
began          : 87
How            : 86
days           : 85
those          : 84
let            : 84
ain            : 84
kind           : 83
upon           : 83
done           : 82
yet            : 82
water          : 81
find           : 81
every          : 81
enough         : 81
behind         : 80
