the            : 2594
of             : 1408
and            : 983
to             : 973
in             : 841
a              : 702
was            : 438
for            : 361
that           : 346
it             : 304
is             : 281
with           : 266
on             : 261
New            : 237
as             : 231
game           : 229
York           : 224
by             : 223
The            : 216
which          : 211
Boston         : 198
but            : 195
be             : 184
were           : 182
had            : 181
out            : 179
not            : 178
at             : 168
Ball           : 163
Base           : 162
s              : 161
they           : 156
have           : 154
base           : 154
his            : 144
been           : 144
League         : 131
one            : 129
he             : 126
their          : 120
this           : 119
or             : 115
has            : 115
who            : 114
games          : 112
players        : 107
from           : 106
In             : 105
all            : 104
ball           : 102
would          : 100
Chicago        : 99
team           : 97
It             : 93
field          : 93
first          : 92
two            : 91
work           : 90
than           : 89
made           : 81
an             : 81
inning         : 80
series         : 80
season         : 78
club           : 78
any            : 78
National       : 77
hit            : 76
are            : 76
second         : 72
so             : 72
Mr             : 71
St             : 71
him            : 67
Speaker        : 67
American       : 66
you            : 66
Doyle          : 65
its            : 65
I              : 64
Gutenberg      : 64
Stahl          : 64
A              : 63
Gardner        : 63
there          : 63
Project        : 63
Merkle         : 62
Herzog         : 62
Wagner         : 61
Tesreau        : 61
played         : 61
into           : 61
Meyers         : 61
time           : 60
Fletcher       : 60
did            : 59
Devore         : 59
more           : 59
Louis          : 58
Snodgrass      : 57
when           : 57
Giants         : 56
no             : 56
Wood           : 56
if             : 55
will           : 55
O              : 54
Hooper         : 53
won            : 53
hits           : 53
may            : 53
Pittsburgh     : 53
balls          : 53
Yerkes         : 52
some           : 52
E              : 50
b              : 50
three          : 50
Murray         : 50
f              : 49
third          : 49
them           : 49
only           : 49
Hall           : 49
tm             : 48
world          : 48
batted         : 48
run            : 48
OF             : 46
up             : 46
other          : 46
Spalding       : 45
Bedient        : 45
men            : 44
Lewis          : 44
He             : 43
innings        : 43
play           : 42
Philadelphia   : 42
runs           : 42
Brush          : 42
given          : 42
There          : 41
began          : 41
Mathewson      : 41
after          : 40
right          : 40
should         : 40
upon           : 40
sport          : 40
bases          : 39
most           : 39
bat            : 39
c              : 38
could          : 38
new            : 38
Brien          : 38
H              : 37
good           : 37
By             : 37
place          : 37
player         : 37
left           : 37
part           : 37
league         : 37
Brooklyn       : 36
Club           : 36
total          : 36
scored         : 36
well           : 36
book           : 36
over           : 36
Cleveland      : 35
year           : 35
ofthe          : 35
do             : 35
Washington     : 35
home           : 35
better         : 34
much           : 34
Cincinnati     : 34
very           : 34
off            : 34
clubs          : 34
tie            : 33
PC             : 33
then           : 33
best           : 33
fact           : 33
times          : 32
That           : 32
They           : 32
single         : 31
great          : 30
teams          : 30
Cady           : 30
This           : 29
lost           : 29
seventh        : 29
such           : 29
might          : 29
last           : 29
Marquard       : 29
playing        : 29
also           : 29
G              : 28
under          : 28
another        : 28
without        : 28
many           : 27
As             : 27
If             : 27
race           : 27
way            : 27
Collins        : 27
ever           : 27
R              : 26
l              : 26
Sox            : 26
long           : 26
Won            : 26
works          : 26
center         : 26
man            : 26
organization   : 26
Off            : 26
until          : 26
Lost           : 26
L              : 25
Asso           : 25
next           : 25
far            : 25
win            : 25
STANDING       : 25
championship   : 25
history        : 25
Detroit        : 25
record         : 25
against        : 25
our            : 25
every          : 25
CLUBS          : 25
through        : 25
half           : 24
p              : 24
day            : 24
interest       : 24
between        : 24
position       : 24
same           : 23
make           : 23
To             : 23
while          : 23
pitchers       : 23
we             : 23
before         : 23
city           : 23
national       : 23
batter         : 23
about          : 23
these          : 23
days           : 23
retired        : 23
back           : 22
GUIDE          : 22
ON             : 22
America        : 22
high           : 22
pitched        : 22
Athletics      : 22
five           : 22
Editor         : 22
public         : 22
can            : 22
being          : 21
AB             : 21
fly            : 21
started        : 21
must           : 21
Foundation     : 21
old            : 21
owner          : 21
leagues        : 21
B              : 20
hard           : 20
early          : 20
For            : 20
took           : 20
States         : 20
put            : 20
take           : 20
where          : 20
case           : 20
both           : 20
result         : 19
winning        : 19
gave           : 19
terms          : 19
got            : 19
safely         : 19
Crandall       : 19
inthe          : 19
succession     : 19
umpires        : 19
With           : 19
McCormick      : 19
what           : 19
years          : 19
electronic     : 19
P              : 18
S              : 18
Two            : 18
contest        : 18
Wilson         : 18
ss             : 18
get            : 18
United         : 18
those          : 18
fourth         : 18
because        : 18
agreement      : 18
now            : 18
Totals         : 18
eighth         : 18
during         : 18
grounds        : 17
share          : 17
four           : 17
young          : 17
present        : 17
number         : 17
Bases          : 17
went           : 17
full           : 17
Struck         : 17
score          : 17
defeat         : 17
always         : 17
came           : 17
r              : 16
Then           : 16
THE            : 16
business       : 16
possible       : 16
But            : 16
Becker         : 16
never          : 16
cities         : 16
fans           : 16
read           : 16
You            : 16
owners         : 16
First          : 16
ProjectGutenberg: 16
followed       : 16
major          : 16
singled        : 16
enough         : 16
F              : 15
N              : 15
batters        : 15
end            : 15
flied          : 15
us             : 15
John           : 15
rule           : 15
White          : 15
reason         : 15
Engle          : 15
NEW            : 15
Indianapolis   : 15
just           : 15
struck         : 14
GAME           : 14
NewYork        : 14
use            : 14
We             : 14
almost         : 14
less           : 14
professional   : 14
class          : 14
seemed         : 14
come           : 14
own            : 14
like           : 14
Ames           : 14
general        : 14
again          : 14
latter         : 14
little         : 14
change         : 14
tenth          : 14
chance         : 14
manager        : 14
C              : 13
too            : 13
known          : 13
Pacific        : 13
opinion        : 13
few            : 13
me             : 13
success        : 13
although       : 13
death          : 13
His            : 13
brought        : 13
interesting    : 13
pennant        : 13
each           : 13
away           : 13
October        : 13
twenty         : 13
received       : 13
forced         : 13
leading        : 13
copyright      : 13
give           : 13
May            : 13
fight          : 13
infield        : 13
ninth          : 13
pitching       : 13
see            : 13
Game           : 12
T              : 12
including      : 12
start          : 12
advantage      : 12
forth          : 12
easily         : 12
seen           : 12
necessary      : 12
Olympic        : 12
how            : 12
beginning      : 12
JOHN           : 12
able           : 12
copies         : 12
sixth          : 12
throw          : 12
fifth          : 12
making         : 12
pitcher        : 12
YORK           : 12
kept           : 12
copy           : 12
victory        : 12
eBook          : 12
pastime        : 12
since          : 12
writer         : 12
ran            : 12
results        : 12
set            : 12
written        : 12
said           : 12
Red            : 11
caught         : 11
Muffed         : 11
themselves     : 11
BaseBall       : 11
Fame           : 11
likely         : 11
Archive        : 11
having         : 11
Coast          : 11
Brotherhood    : 11
nine           : 11
Southern       : 11
eBooks         : 11
Association    : 11
Richter        : 11
errors         : 11
others         : 11
equal          : 11
division       : 11
middle         : 11
toward         : 11
forthe         : 11
June           : 11
earned         : 11
Henriksen      : 11
country        : 11
life           : 11
efforts        : 11
trying         : 11
Umpires        : 11
hold           : 11
within         : 11
Loughlin       : 11
donations      : 11
future         : 11
Klem           : 11
greater        : 11
safe           : 11
W              : 10
seems          : 10
http           : 10
No             : 10
victories      : 10
expected       : 10
Bostons        : 10
become         : 10
www            : 10
Literary       : 10
help           : 10
outfield       : 10
found          : 10
yet            : 10
Left           : 10
based          : 10
Paul           : 10
Attendance     : 10
following      : 10
lead           : 10
When           : 10
easy           : 10
month          : 10
gutenberg      : 10
among          : 10
around         : 10
BOSTON         : 10
opponents      : 10
your           : 10
even           : 10
Not            : 10
clean          : 10
member         : 10
Shafer         : 10
succeeded      : 10
salaries       : 10
thrown         : 10
story          : 10
stole          : 10
J              : 9
information    : 9
short          : 9
going          : 9
average        : 9
training       : 9
seven          : 9
Time           : 9
At             : 9
called         : 9
trademark      : 9
double         : 9
From           : 9
attention      : 9
perhaps        : 9
go             : 9
form           : 9
rules          : 9
know           : 9
sent           : 9
here           : 9
laws           : 9
Stockholm      : 9
finished       : 9
steal          : 9
excellent      : 9
weeks          : 9
close          : 9
Sacrifice      : 9
Rules          : 9
plate          : 9
records        : 9
condition      : 9
led            : 9
does           : 9
Wild           : 9
Weather        : 9
writing        : 9
failed         : 9
July           : 9
career         : 9
honor          : 9
Rigler         : 9
nor            : 9
certain        : 9
management     : 9
Carrigan       : 9
willing        : 9
support        : 9
method         : 9
date           : 9
ground         : 9
line           : 9
members        : 9
interested     : 9
Manager        : 9
itself         : 9
patrons        : 9
Evans          : 9
Cubs           : 9
finish         : 9
say            : 9
paragraph      : 9
weather        : 9
Western        : 8
Agreement      : 8
became         : 8
think          : 8
thechampionship: 8
stand          : 8
speed          : 8
spring         : 8
Committee      : 8
war            : 8
plan           : 8
fee            : 8
died           : 8
am             : 8
baseman        : 8
considered     : 8
effort         : 8
Hits           : 8
editor         : 8
fielding       : 8
president      : 8
taken          : 8
receipts       : 8
luck           : 8
rest           : 8
however        : 8
crowd          : 8
Scorers        : 8
access         : 8
once           : 8
greatest       : 8
While          : 8
matter         : 8
doubt          : 8
threw          : 8
provide        : 8
means          : 8
done           : 8
mind           : 8
Spink          : 8
associated     : 8
Official       : 8
marked         : 8
complete       : 8
World          : 8
ahead          : 8
License        : 8
manner         : 8
organized      : 8
Kewanee        : 8
Oct            : 8
One            : 8
smaller        : 8
simply         : 8
bad            : 8
personal       : 8
deal           : 8
strong         : 8
proved         : 8
several        : 8
makes          : 8
D              : 7
straight       : 7
t              : 7
moment         : 7
Athletic       : 7
diamond        : 7
later          : 7
Pitching       : 7
schedule       : 7
pitch          : 7
credit         : 7
due            : 7
least          : 7
official       : 7
Dr             : 7
enthusiasts    : 7
Portland       : 7
umpire         : 7
himself        : 7
happened       : 7
addition       : 7
Buffalo        : 7
my             : 7
changed        : 7
onballs        : 7
etext          : 7
contributed    : 7
batting        : 7
larger         : 7
franchise      : 7
equally        : 7
whether        : 7
doubled        : 7
Callahan       : 7
beat           : 7
opportunity    : 7
eight          : 7
cover          : 7
refund         : 7
value          : 7
tothe          : 7
Players        : 7
champions      : 7
plays          : 7
unable         : 7
paid           : 7
experience     : 7
past           : 7
domain         : 7
believe        : 7
fell           : 7
volume         : 7
net            : 7
Commission     : 7
abase          : 7
along          : 7
Fourth         : 7
bring          : 7
consideration  : 7
turned         : 7
connection     : 7
distributing   : 7
anything       : 7
contests       : 7
Drohan         : 7
account        : 7
return         : 7
find           : 7
agree          : 7
cannot         : 7
younger        : 7
George         : 7
system         : 7
thought        : 7
pglaf          : 7
call           : 7
strength       : 7
percentage     : 7
advanced       : 7
President      : 7
BALL           : 7
pleasure       : 7
BASE           : 7
News           : 7
FOSTER         : 6
top            : 6
All            : 6
probably       : 6
Sweden         : 6
dates          : 6
San            : 6
further        : 6
thegame        : 6
staff          : 6
finally        : 6
knows          : 6
arrangement    : 6
benefit        : 6
highest        : 6
Games          : 6
hands          : 6
near           : 6
stop           : 6
thoroughly     : 6
shall          : 6
PO             : 6
So             : 6
OFFICIAL       : 6
losing         : 6
former         : 6
charge         : 6
foul           : 6
previous       : 6
held           : 6
Chicagos       : 6
force          : 6
Internat       : 6
SEASON         : 6
purpose        : 6
circuit        : 6
things         : 6
twice          : 6
attendance     : 6
Orleans        : 6
actually       : 6
fair           : 6
Freedman       : 6
fall           : 6
ill            : 6
YOU            : 6
fast           : 6
post           : 6
nothing        : 6
distributed    : 6
catcher        : 6
real           : 6
theseason      : 6
using          : 6
bagger         : 6
show           : 6
important      : 6
comply         : 6
front          : 6
somewhat       : 6
everything     : 6
side           : 6
missed         : 6
Double         : 6
control        : 6
individual     : 6
person         : 6
week           : 6
Fumbles        : 6
tocenter       : 6
lot            : 6
interests      : 6
obtain         : 6
title          : 6
Browns         : 6
wonderful      : 6
appear         : 6
William        : 6
whole          : 6
told           : 6
shortstop      : 6
Harry          : 6
September      : 6
keep           : 6
whom           : 6
alternate      : 6
slump          : 6
generally      : 6
follows        : 6
spectators     : 6
development    : 6
everybody      : 6
affairs        : 6
cost           : 6
medium         : 6
Three          : 6
valuable       : 6
desire         : 6
onthe          : 6
hope           : 6
leadership     : 6
people         : 6
NationalLeague : 6
anyone         : 6
Series         : 6
Many           : 6
name           : 6
theNational    : 6
saw            : 6
organizations  : 6
NATIONAL       : 6
operate        : 6
behind         : 6
