After     : 13
mysterious: 13
close     : 13
read      : 13
party     : 13
candle    : 13
reach     : 13
following : 13
spoke     : 13
others    : 13
law       : 13
whole     : 13
certain   : 13
approached: 13
home      : 13
summer    : 13
return    : 13
find      : 13
act       : 13
care      : 13
dwelling  : 13
laugh     : 12
question  : 12
San       : 12
grass     : 12
business  : 12
Rosser    : 12
due       : 12
remember  : 12
tried     : 12
On        : 12
hear      : 12
thee      : 12
apart     : 12
purpose   : 12
entirely  : 12
square    : 12
Holker    : 12
ill       : 12
number    : 12
removed   : 12
tothe     : 12
either    : 12
lifted    : 12
leaving   : 12
shot      : 12
corner    : 12
mad       : 12
terrible  : 12
William   : 12
altogether: 12
Dorrimore : 12
trifle    : 12
alone     : 12
King      : 12
wild      : 12
Francisco : 12
standing  : 12
neither   : 12
since     : 12
except    : 12
birds     : 12
covered   : 12
spot      : 12
mother    : 12
dust      : 12
nature    : 12
m         : 11
hath      : 11
times     : 11
cry       : 11
beautiful : 11
opposite  : 11
occurred  : 11
shook     : 11
unknown   : 11
forgotten : 11
remained  : 11
evidence  : 11
Margovan  : 11
grew      : 11
sides     : 11
outside   : 11
sure      : 11
become    : 11
youth     : 11
entire    : 11
affected  : 11
hat       : 11
effort    : 11
sword     : 11
showed    : 11
YOU       : 11
miles     : 11
Manton    : 11
captain   : 11
afternoon : 11
making    : 11
nearly    : 11
drew      : 11
cold      : 11
ghost     : 11
hills     : 11
evil      : 11
together  : 11
backward  : 11
sought    : 11
moments   : 11
shoulders : 11
George    : 11
already   : 11
Jaralson  : 11
ask       : 11
move      : 11
angle     : 11
store     : 11
passing   : 11
S         : 10
e         : 10
w         : 10
obvious   : 10
walked    : 10
hard      : 10
whence    : 10
glass     : 10
gulch     : 10
length    : 10
thrust    : 10
Do        : 10
dreams    : 10
Perhaps   : 10
Suddenly  : 10
foot      : 10
observe   : 10
en        : 10
else      : 10
im        : 10
Shaw      : 10
singular  : 10
recognized: 10
lady      : 10
understand: 10
instant   : 10
ravine    : 10
chair     : 10
answer    : 10
blank     : 10
free      : 10
staring   : 10
clearly   : 10
persons   : 10
devil     : 10
crowd     : 10
thinking  : 10
Kent      : 10
led       : 10
Creede    : 10
Presently : 10
fellow    : 10
done      : 10
easy      : 10
animal    : 10
naturally : 10
sleep     : 10
mystery   : 10
wrong     : 10
evidently : 10
strange   : 10
ceased    : 10
snow      : 10
Gallegos  : 10
hold      : 10
distinctly: 10
heavy     : 10
coming    : 10
isky      : 10
speak     : 10
officer   : 10
broad     : 10
moon      : 10
dear      : 10
beg       : 10
change    : 10
drawn     : 10
o         : 9
conjecture: 9
order     : 9
spirit    : 9
hours     : 9
Ramon     : 9
short     : 9
apparition: 9
states    : 9
Doyle     : 9
Harker    : 9
common    : 9
relate    : 9
love      : 9
awful     : 9
leave     : 9
faint     : 9
sharp     : 9
enemy     : 9
play      : 9
pleased   : 9
stared    : 9
seem      : 9
souls     : 9
Please    : 9
thin      : 9
Gulch     : 9
want      : 9
action    : 9
Alvan     : 9
bent      : 9
able      : 9
upward    : 9
pointed   : 9
appearance: 9
Miss      : 9
Yet       : 9
fancy     : 9
sheep     : 9
rest      : 9
maiden    : 9
Hastur    : 9
brought   : 9
level     : 9
apprehension: 9
dismal    : 9
observation: 9
legs      : 9
opening   : 9
clad      : 9
curiosity : 9
minutes   : 9
smiled    : 9
mine      : 9
feel      : 9
breast    : 9
Chinaman  : 9
believe   : 9
flock     : 9
moving    : 9
Byring    : 9
permitted : 9
girl      : 9
whatever  : 9
aloud     : 9
Blackburg : 9
kept      : 9
spiritual : 9
Dunfer    : 9
region    : 9
Mrs       : 9
note      : 9
moonlight : 9
chill     : 9
New       : 9
cause     : 9
retired   : 9
gravely   : 9
true      : 9
round     : 9
red       : 9
escaped   : 9
movement  : 9
mouth     : 9
case      : 9
strong    : 9
obviously : 9
beside    : 9
Doubtless : 9
son       : 9
recall    : 9
Sometimes : 9
Etexts    : 9
ten       : 8
picture   : 8
pipe      : 8
incident  : 8
state     : 8
Are       : 8
grasp     : 8
possible  : 8
conviction: 8
stand     : 8
ear       : 8
existence : 8
spell     : 8
Can       : 8
walking   : 8
year      : 8
least     : 8
companion : 8
GUTENBERG : 8
OR        : 8
produced  : 8
watching  : 8
second    : 8
somehow   : 8
PROJECT   : 8
power     : 8
coffin    : 8
help      : 8
shadows   : 8
gun       : 8
thinks    : 8
early     : 8
bear      : 8
mere      : 8
please    : 8
Foundation: 8
repeated  : 8
jug       : 8
related   : 8
Nothing   : 8
directly  : 8
Before    : 8
remaining : 8
stones    : 8
testimony : 8
While     : 8
Its       : 8
let       : 8
fixed     : 8
threw     : 8
experience: 8
ofhis     : 8
mile      : 8
breath    : 8
atthe     : 8
forever   : 8
fingers   : 8
tongue    : 8
because   : 8
slow      : 8
houses    : 8
Dampier   : 8
visibly   : 8
used      : 8
intently  : 8
edge      : 8
speaking  : 8
suppose   : 8
wide      : 8
abandoned : 8
date      : 8
faces     : 8
invisible : 8
meeting   : 8
escape    : 8
Not       : 8
group     : 8
Hawver    : 8
knowledge : 8
Good      : 8
leaning   : 8
falling   : 8
people    : 8
five      : 8
finger    : 8
caused    : 8
Iwas      : 8
run       : 8
duty      : 8
patient   : 8
greatly   : 8
deep      : 8
sir       : 8
big       : 8
animals   : 8
large     : 8
foolish   : 8
Something : 8
mental    : 8
horse     : 8
Such      : 8
written   : 8
fled      : 8
really    : 8
pardon    : 7
Their     : 7
probably  : 7
speech    : 7
These     : 7
desert    : 7
showing   : 7
thick     : 7
use       : 7
worn      : 7
solitude  : 7
neck      : 7
spring    : 7
below     : 7
expected  : 7
cemetery  : 7
laughed   : 7
game      : 7
fromthe   : 7
former    : 7
er        : 7
gate      : 7
suggestion: 7
places    : 7
ll        : 7
sitting   : 7
Harford   : 7
deeply    : 7
returned  : 7
named     : 7
intelligence: 7
hundred   : 7
didnot    : 7
beneath   : 7
Hill      : 7
clenched  : 7
Federal   : 7
Was       : 7
garden    : 7
mean      : 7
corpse    : 7
altered   : 7
reached   : 7
Corray    : 7
present   : 7
certainly : 7
impulse   : 7
finished  : 7
paper     : 7
poor      : 7
urged     : 7
acquaintance: 7
rear      : 7
ship      : 7
obscurity : 7
sign      : 7
high      : 7
upper     : 7
scene     : 7
teeth     : 7
week      : 7
Hillbrook : 7
object    : 7
distant   : 7
walls     : 7
husband   : 7
signal    : 7
served    : 7
etexts    : 7
deceased  : 7
beast     : 7
knowing   : 7
intervals : 7
statement : 7
Marshall  : 7
itwas     : 7
stairs    : 7
attended  : 7
cabin     : 7
copy      : 7
ahead     : 7
child     : 7
rising    : 7
Nor       : 7
surroundings: 7
crimson   : 7
grown     : 7
general   : 7
sentiment : 7
rough     : 7
donations : 7
public    : 7
astonishment: 7
morrow    : 7
truth     : 7
Bayne     : 7
Macarger  : 7
louder    : 7
taste     : 7
broke     : 7
cried     : 7
strength  : 7
camp      : 7
approaching: 7
flesh     : 7
dared     : 7
simple    : 7
battle    : 7
beauty    : 7
explained : 7
sky       : 7
thrown    : 7
buried    : 7
mortal    : 7
children  : 7
weather   : 7
rightly   : 7
Pardon    : 7
rock      : 7
emotion   : 7
strode    : 7
growing   : 7
village   : 7
posture   : 6
serious   : 6
root      : 6
taking    : 6
women     : 6
Ihad      : 6
unfamiliar: 6
sirup     : 6
illuminated: 6
bright    : 6
motionless: 6
shouted   : 6
Here      : 6
attitude  : 6
hotel     : 6
dim       : 6
hideous   : 6
expectation: 6
dry       : 6
witness   : 6
Print     : 6
step      : 6
secret    : 6
desolate  : 6
hermit    : 6
An        : 6
Be        : 6
often     : 6
graves    : 6
Oh        : 6
TO        : 6
intothe   : 6
fields    : 6
doubtless : 6
war       : 6
unaccountable: 6
study     : 6
wet       : 6
happened  : 6
looks     : 6
visit     : 6
fix       : 6
fog       : 6
easily    : 6
doorway   : 6
Archive   : 6
seek      : 6
Literary  : 6
usual     : 6
changed   : 6
force     : 6
brain     : 6
Having    : 6
FOR       : 6
considered: 6
write     : 6
automaton : 6
names     : 6
land      : 6
lamp      : 6
walk      : 6
decay     : 6
Heaven    : 6
warm      : 6
impossible: 6
weapon    : 6
wagon     : 6
vision    : 6
Well      : 6
phenomenon: 6
marks     : 6
friends   : 6
melancholy: 6
finding   : 6
fairly    : 6
pool      : 6
senses    : 6
property  : 6
local     : 6
real      : 6
frequently: 6
worth     : 6
watched   : 6
shop      : 6
vanished  : 6
shut      : 6
important : 6
needless  : 6
parts     : 6
everything: 6
break     : 6
South     : 6
powers    : 6
disquieting: 6
knees     : 6
Davis     : 6
different : 6
social    : 6
raised    : 6
surprised : 6
stopped   : 6
gentleman : 6
theother  : 6
dreadful  : 6
excitement: 6
ready     : 6
Michael   : 6
Small     : 6
narrative : 6
Nobody    : 6
pray      : 6
west      : 6
situation : 6
lit       : 6
remembered: 6
season    : 6
log       : 6
York      : 6
habit     : 6
importance: 6
cigar     : 6
Sancher   : 6
height    : 6
received  : 6
relation  : 6
coward    : 6
commonplace: 6
leading   : 6
guess     : 6
guest     : 6
risen     : 6
significance: 6
copyright : 6
crossed   : 6
color     : 6
flame     : 6
rise      : 6
otherwise : 6
borne     : 6
keep      : 6
turning   : 6
brother   : 6
Mortonson : 6
mounted   : 6
trouble   : 6
Morrow    : 6
sympathy  : 6
nose      : 6
dignity   : 6
sharply   : 6
remove    : 6
live      : 6
Among     : 6
boughs    : 6
receive   : 6
Now       : 6
windows   : 6
struggle  : 6
whither   : 6
glad      : 6
trying    : 6
pistol    : 6
hole      : 6
iron      : 6
explain   : 6
slept     : 6
definition: 6
answered  : 6
anyone    : 6
chamber   : 6
bottom    : 6
pulled    : 6
