the            : 4788
of             : 2955
and            : 2702
to             : 1820
in             : 1558
a              : 1340
I              : 906
that           : 763
it             : 756
is             : 713
as             : 616
was            : 584
for            : 578
with           : 556
not            : 515
or             : 507
The            : 485
at             : 441
be             : 432
on             : 428
from           : 390
he             : 384
are            : 383
had            : 362
his            : 348
by             : 336
were           : 336
which          : 335
s              : 322
her            : 311
this           : 305
you            : 296
but            : 294
have           : 284
their          : 275
one            : 272
all            : 267
they           : 265
she            : 239
me             : 235
its            : 215
an             : 211
It             : 206
them           : 202
more           : 199
has            : 190
we             : 186
than           : 184
been           : 183
there          : 179
so             : 178
men            : 176
no             : 172
out            : 172
army           : 171
my             : 168
up             : 164
these          : 163
him            : 160
He             : 157
would          : 155
will           : 154
into           : 151
when           : 150
per            : 144
if             : 141
our            : 140
like           : 139
now            : 137
said           : 136
only           : 133
some           : 128
any            : 127
did            : 126
do             : 121
man            : 121
very           : 120
life           : 120
But            : 116
old            : 116
who            : 116
down           : 115
cent           : 114
could          : 111
In             : 105
little         : 105
other          : 104
She            : 102
such           : 101
may            : 101
must           : 101
what           : 96
most           : 95
among          : 92
see            : 92
can            : 92
upon           : 91
over           : 90
where          : 89
They           : 88
great          : 88
well           : 87
two            : 86
before         : 85
war            : 85
those          : 84
face           : 84
through        : 83
come           : 81
work           : 81
even           : 79
time           : 79
t              : 78
then           : 78
There          : 77
long           : 77
A              : 76
day            : 76
under          : 76
thought        : 76
much           : 74
way            : 73
came           : 73
never          : 71
each           : 71
What           : 69
eyes           : 69
This           : 69
us             : 68
same           : 68
know           : 67
should         : 67
years          : 67
p              : 66
hand           : 66
went           : 65
first          : 65
own            : 64
And            : 63
Gutenberg      : 63
Mr             : 63
sickness       : 63
church         : 63
looked         : 63
Project        : 63
Axtell         : 63
while          : 63
after          : 62
many           : 62
how            : 62
made           : 61
about          : 61
home           : 61
sick           : 60
British        : 60
air            : 60
good           : 59
feet           : 59
still          : 59
every          : 59
make           : 58
half           : 58
leaves         : 57
found          : 56
last           : 56
again          : 56
might          : 56
room           : 55
You            : 55
night          : 55
house          : 54
side           : 54
think          : 53
though         : 53
look           : 53
back           : 52
Miss           : 52
yet            : 52
force          : 51
God            : 51
cold           : 51
your           : 51
asked          : 51
without        : 51
being          : 50
go             : 50
If             : 49
Dode           : 49
soldiers       : 49
tm             : 48
here           : 48
new            : 47
Palmer         : 47
mortality      : 47
whole          : 47
just           : 47
find           : 47
year           : 46
No             : 46
earth          : 45
shall          : 45
South          : 45
houses         : 44
ever           : 44
full           : 43
take           : 43
away           : 43
part           : 43
dead           : 43
trees          : 42
death          : 42
less           : 42
nor            : 42
health         : 42
far            : 41
put            : 41
too            : 41
rate           : 41
head           : 41
place          : 41
Gaunt          : 41
better         : 40
words          : 40
let            : 40
saw            : 40
high           : 40
give           : 40
tree           : 40
heart          : 40
number         : 39
between        : 39
three          : 39
Government     : 39
States         : 39
diseases       : 39
Aaron          : 39
died           : 38
light          : 38
knew           : 38
ground         : 38
At             : 37
Dr             : 37
few            : 37
color          : 37
English        : 37
heard          : 37
troops         : 36
use            : 36
least          : 36
another        : 36
green          : 36
country        : 36
gone           : 35
These          : 35
present        : 35
works          : 35
left           : 35
set            : 35
right          : 35
ofthe          : 35
officers       : 35
twenty         : 35
within         : 35
people         : 35
How            : 34
world          : 34
field          : 34
off            : 34
love           : 34
something      : 34
means          : 34
road           : 34
power          : 33
England        : 33
almost         : 33
Chloe          : 33
small          : 33
When           : 33
condition      : 33
red            : 33
both           : 33
Army           : 33
often          : 33
cannot         : 33
We             : 32
New            : 32
large          : 32
hill           : 32
days           : 32
camp           : 32
thousand       : 31
bright         : 31
himself        : 31
de             : 31
ll             : 31
hundred        : 31
For            : 31
lay            : 31
door           : 31
open           : 31
peace          : 31
white          : 31
looking        : 31
fire           : 31
battle         : 31
stone          : 31
hospitals      : 30
As             : 30
eye            : 30
His            : 30
Bone           : 30
always         : 30
Lord           : 30
village        : 30
thus           : 30
whether        : 30
rest           : 30
inthe          : 30
whose          : 30
took           : 30
since          : 30
itself         : 30
Her            : 29
done           : 29
Some           : 29
going          : 28
disease        : 28
sleep          : 28
says           : 28
water          : 28
loss           : 28
hands          : 28
Nature         : 28
used           : 28
windows        : 28
five           : 28
m              : 27
times          : 27
average        : 27
want           : 27
low            : 27
strength       : 27
sent           : 27
Report         : 27
American       : 27
yer            : 27
months         : 27
enough         : 27
General        : 27
Sanitary       : 26
others         : 26
does           : 26
Medical        : 26
yellow         : 26
causes         : 26
French         : 26
duty           : 26
say            : 26
beauty         : 26
lost           : 26
perhaps        : 26
show           : 26
snow           : 26
during         : 26
living         : 26
near           : 25
clothing       : 25
am             : 25
food           : 25
four           : 25
best           : 25
quite          : 25
October        : 25
moment         : 25
tell           : 25
seen           : 25
sometimes      : 25
vital          : 25
felt           : 25
voice          : 25
seemed         : 25
deep           : 25
land           : 24
brought        : 24
once           : 24
ages           : 24
service        : 24
THE            : 24
held           : 24
War            : 24
wounded        : 24
fell           : 24
summer         : 24
until          : 24
E              : 23
armies         : 23
So             : 23
effect         : 23
form           : 23
ve             : 23
colors         : 23
West           : 23
civil          : 23
leaf           : 23
Let            : 23
horse          : 23
sun            : 23
seem           : 23
taken          : 23
given          : 23
soon           : 23
soul           : 23
age            : 23
woman          : 22
beautiful      : 22
themselves     : 22
OF             : 22
hospital       : 22
David          : 22
August         : 22
against        : 22
keep           : 22
turned         : 22
wish           : 22
six            : 22
hear           : 22
help           : 22
fall           : 22
supply         : 22
around         : 22
nearly         : 22
generally      : 22
yard           : 22
amount         : 22
morning        : 22
