the            : 1767
to             : 1118
and            : 1026
a              : 877
I              : 790
of             : 720
you            : 636
in             : 592
it             : 574
Billie         : 573
that           : 504
her            : 499
t              : 488
she            : 481
s              : 381
said           : 377
with           : 367
was            : 360
as             : 353
for            : 290
we             : 276
at             : 265
had            : 252
on             : 239
Laura          : 236
they           : 230
be             : 216
Chet           : 209
have           : 206
all            : 200
cried          : 192
he             : 188
girls          : 185
Violet         : 171
up             : 168
is             : 157
about          : 151
them           : 148
not            : 148
if             : 143
out            : 142
But            : 139
don            : 137
what           : 136
do             : 134
The            : 132
Mrs            : 132
ll             : 128
me             : 128
old            : 128
his            : 127
but            : 125
or             : 121
know           : 120
And            : 119
this           : 118
were           : 118
just           : 118
get            : 116
It             : 113
Oh             : 110
an             : 110
asked          : 109
Gilligan       : 108
one            : 108
go             : 106
Well           : 106
can            : 106
You            : 105
see            : 103
so             : 99
time           : 96
We             : 95
going          : 94
added          : 93
him            : 92
from           : 92
their          : 92
any            : 91
would          : 90
there          : 90
when           : 89
down           : 88
more           : 88
way            : 86
are            : 86
house          : 85
back           : 84
could          : 84
very           : 83
did            : 81
re             : 81
into           : 78
Teddy          : 78
little         : 77
by             : 76
been           : 76
m              : 74
think          : 74
boys           : 73
then           : 72
us             : 72
over           : 72
some           : 70
will           : 68
eyes           : 68
like           : 67
d              : 66
other          : 65
came           : 65
Gutenberg      : 64
much           : 64
Ferd           : 64
Project        : 63
here           : 62
room           : 61
who            : 61
good           : 58
What           : 58
If             : 57
night          : 57
your           : 57
again          : 57
must           : 56
my             : 55
only           : 55
door           : 55
off            : 55
look           : 54
thing          : 53
ve             : 53
thought        : 53
looking        : 52
before         : 52
now            : 52
say            : 52
make           : 51
work           : 51
which          : 51
while          : 51
She            : 50
last           : 50
Bradley        : 50
after          : 49
Then           : 49
There          : 49
something      : 49
tm             : 48
right          : 47
no             : 47
left           : 47
too            : 45
two            : 44
tell           : 44
looked         : 44
suppose        : 44
let            : 43
away           : 43
our            : 43
heard          : 43
place          : 42
come           : 42
Why            : 41
how            : 41
adding         : 41
Now            : 41
find           : 41
They           : 40
made           : 40
turned         : 40
enough         : 40
A              : 39
never          : 39
than           : 39
want           : 39
first          : 39
found          : 38
ghosts         : 38
voice          : 38
anything       : 38
got            : 37
Yes            : 37
didn           : 36
won            : 36
ghost          : 36
put            : 35
answered       : 35
man            : 34
even           : 34
where          : 34
statue         : 33
long           : 33
face           : 33
take           : 33
day            : 32
started        : 32
help           : 32
wouldn         : 32
ever           : 32
That           : 31
another        : 31
might          : 31
almost         : 31
went           : 31
bed            : 31
better         : 30
once           : 30
laugh          : 29
As             : 29
things         : 29
may            : 29
still          : 29
sleep          : 29
train          : 29
home           : 29
smile          : 29
mother         : 29
really         : 29
half           : 28
hand           : 28
Say            : 28
such           : 28
course         : 28
isn            : 28
minute         : 28
money          : 28
dark           : 28
set            : 28
He             : 27
Mr             : 27
anyway         : 27
For            : 27
beginning      : 27
works          : 27
well           : 27
boy            : 27
why            : 26
without        : 26
has            : 26
rather         : 26
feel           : 26
chuckle        : 26
toward         : 26
arm            : 26
through        : 26
piano          : 26
trunk          : 26
No             : 25
laughed        : 25
should         : 25
Come           : 25
coming         : 25
end            : 24
So             : 24
hear           : 24
young          : 24
hundred        : 24
yet            : 24
CHAPTER        : 24
Debbie         : 24
give           : 24
began          : 24
morning        : 24
idea           : 24
herself        : 24
use            : 23
In             : 23
sure           : 23
fun            : 23
head           : 23
each           : 23
mind           : 23
told           : 23
E              : 22
eagerly        : 22
Goodness       : 22
feeling        : 22
school         : 22
suddenly       : 22
upon           : 22
part           : 22
feet           : 22
open           : 22
seemed         : 22
All            : 21
Beatrice       : 21
Don            : 21
three          : 21
guess          : 21
stairs         : 21
wonder         : 21
Here           : 20
leave          : 20
mean           : 20
Foundation     : 20
matter         : 20
noise          : 20
strange        : 20
hope           : 20
father         : 20
always         : 20
Do             : 19
far            : 19
Aunt           : 19
afraid         : 19
full           : 19
light          : 19
electronic     : 19
getting        : 19
same           : 18
moment         : 18
This           : 18
being          : 18
At             : 18
Of             : 18
haunted        : 18
Cherry         : 18
broken         : 18
excitement     : 18
done           : 18
though         : 18
couldn         : 18
around         : 18
keep           : 18
turning        : 18
own            : 18
Three          : 18
Towers         : 18
sort           : 18
table          : 18
hall           : 17
