the            : 1213
and            : 1200
to             : 727
of             : 591
her            : 514
that           : 453
she            : 449
a              : 427
was            : 427
in             : 366
it             : 350
you            : 328
not            : 283
I              : 273
all            : 263
is             : 259
had            : 245
little         : 240
with           : 234
said           : 232
as             : 220
for            : 211
but            : 203
he             : 189
Pilgrim        : 185
And            : 165
this           : 161
so             : 154
are            : 145
were           : 143
at             : 141
one            : 141
have           : 140
be             : 140
who            : 134
which          : 129
them           : 124
or             : 122
they           : 121
him            : 121
there          : 118
The            : 109
we             : 109
me             : 105
what           : 99
great          : 94
She            : 87
do             : 86
no             : 86
if             : 83
know           : 83
his            : 81
then           : 80
been           : 80
some           : 80
when           : 79
by             : 79
out            : 79
more           : 78
on             : 75
will           : 73
other          : 73
It             : 72
how            : 72
could          : 72
But            : 71
work           : 70
come           : 68
like           : 68
here           : 67
any            : 67
upon           : 66
see            : 66
did            : 65
from           : 65
came           : 65
many           : 64
Gutenberg      : 64
Project        : 63
us             : 62
our            : 62
looked         : 62
heart          : 59
would          : 57
s              : 57
about          : 56
tell           : 54
never          : 54
very           : 54
herself        : 53
Father         : 52
think          : 51
again          : 51
though         : 50
way            : 49
You            : 49
tm             : 48
where          : 48
time           : 47
eyes           : 46
into           : 45
knew           : 45
those          : 45
things         : 44
only           : 44
am             : 43
go             : 43
should         : 43
Oh             : 42
than           : 42
up             : 42
yet            : 42
face           : 42
beautiful      : 40
before         : 40
now            : 39
has            : 39
still          : 37
seemed         : 37
must           : 37
over           : 37
seen           : 36
your           : 36
went           : 35
old            : 35
thought        : 35
saw            : 35
say            : 35
hand           : 34
full           : 34
told           : 34
an             : 34
light          : 34
every          : 34
cried          : 34
We             : 33
Lord           : 33
made           : 32
love           : 32
such           : 32
lady           : 32
woman          : 31
too            : 31
away           : 31
new            : 31
smiled         : 30
people         : 30
nothing        : 30
always         : 30
can            : 30
sweet          : 29
child          : 29
their          : 29
Then           : 28
He             : 28
something      : 28
moment         : 27
hands          : 27
happy          : 27
well           : 26
loved          : 26
There          : 26
long           : 26
look           : 26
life           : 26
without        : 26
coming         : 26
wonder         : 26
works          : 26
down           : 25
may            : 25
much           : 25
soft           : 25
back           : 24
another        : 24
head           : 24
even           : 24
found          : 24
everything     : 24
When           : 24
because        : 23
understand     : 23
sometimes      : 23
place          : 23
E              : 22
This           : 22
glad           : 22
afraid         : 22
first          : 22
air            : 22
make           : 21
my             : 21
cannot         : 21
city           : 21
earth          : 21
lovely         : 21
each           : 20
They           : 20
angels         : 20
felt           : 20
knowing        : 20
whom           : 20
turned         : 20
For            : 20
Foundation     : 20
through        : 20
dear           : 20
sound          : 19
these          : 19
electronic     : 19
pleasure       : 19
left           : 18
If             : 18
might          : 18
clear          : 18
painter        : 18
once           : 18
others         : 17
going          : 17
known          : 17
voice          : 17
nor            : 17
hear           : 17
terms          : 17
own            : 17
just           : 17
heard          : 17
mother         : 17
joy            : 17
done           : 16
man            : 16
Is             : 16
ProjectGutenberg: 16
looking        : 16
round          : 16
sat            : 16
words          : 16
stood          : 16
after          : 15
better         : 15
agreement      : 15
Do             : 15
while          : 15
anything       : 15
poet           : 15
most           : 15
children       : 15
mind           : 14
fear           : 14
above          : 14
wonderful      : 14
among          : 14
died           : 14
alone          : 14
