the       : 2587
a         : 1733
to        : 1653
I         : 1627
of        : 1535
and       : 1465
you       : 1206
s         : 989
in        : 984
her       : 950
t         : 945
it        : 884
that      : 697
with      : 584
for       : 535
me        : 473
his       : 403
was       : 388
up        : 386
You       : 379
out       : 371
on        : 364
like      : 355
she       : 347
my        : 341
he        : 279
from      : 279
can       : 275
at        : 272
got       : 255
ain       : 250
all       : 243
down      : 238
if        : 234
your      : 232
this      : 225
is        : 224
She       : 222
It        : 219
not       : 218
back      : 216
don       : 216
as        : 209
He        : 208
what      : 205
Mrs       : 204
be        : 199
m         : 198
girl      : 191
there     : 191
but       : 191
into      : 190
know      : 188
so        : 187
him       : 175
one       : 173
ll        : 171
re        : 171
have      : 169
had       : 165
little    : 164
or        : 162
The       : 154
over      : 152
get       : 151
now       : 150
A         : 145
when      : 141
too       : 139
no        : 139
just      : 139
Mr        : 138
right     : 133
we        : 133
way       : 128
do        : 128
said      : 126
going     : 123
them      : 120
old       : 119
night     : 118
If        : 115
by        : 113
That      : 111
an        : 111
its       : 110
face      : 109
Jimmie    : 109
only      : 108
Charley   : 107
d         : 106
God       : 106
go        : 105
There     : 104
mama      : 103
off       : 103
day       : 102
they      : 101
about     : 101
man       : 97
take      : 96
mother    : 95
been      : 94
any       : 94
are       : 94
good      : 93
honey     : 93
two       : 92
here      : 92
Why       : 91
would     : 90
Harry     : 90
want      : 88
time      : 88
What      : 88
through   : 88
boy       : 88
head      : 87
come      : 87
years     : 87
My        : 86
tell      : 85
make      : 85
even      : 84
Miss      : 83
could     : 82
see       : 82
let       : 81
where     : 81
against   : 80
life      : 79
No        : 78
then      : 78
how       : 78
say       : 77
after     : 76
hand      : 76
think     : 75
room      : 74
Kaufman   : 72
more      : 72
never     : 71
us        : 71
again     : 70
baby      : 68
eyes      : 68
woman     : 67
Hanna     : 67
own       : 67
Ruby      : 66
door      : 66
em        : 65
things    : 65
Gutenberg : 64
should    : 64
ve        : 63
much      : 63
first     : 63
Project   : 63
home      : 63
before    : 62
Vetsburg  : 61
Don       : 60
every     : 58
hands     : 57
than      : 57
mean      : 57
their     : 57
Blutch    : 56
work      : 56
who       : 56
kind      : 56
But       : 55
We        : 55
didn      : 54
something : 54
were      : 54
give      : 54
always    : 54
table     : 54
around    : 53
town      : 53
some      : 53
other     : 53
black     : 52
great     : 52
without   : 52
last      : 52
Selene    : 52
ma        : 51
nothing   : 51
ever      : 51
house     : 50
Oh        : 50
keep      : 50
They      : 49
small     : 49
will      : 49
made      : 48
look      : 48
across    : 48
tm        : 48
chair     : 48
enough    : 48
business  : 47
Now       : 47
darling   : 47
which     : 46
has       : 46
world     : 46
away      : 46
At        : 45
white     : 45
Coblenz   : 45
Well      : 45
poor      : 45
Yes       : 45
show      : 45
money     : 45
these     : 45
sat       : 45
well      : 44
fellow    : 44
Haas      : 44
five      : 44
And       : 43
tears     : 43
yet       : 43
high      : 43
better    : 42
says      : 42
thing     : 42
wouldn    : 42
new       : 42
arm       : 42
long      : 41
such      : 41
Millie    : 41
When      : 41
light     : 41
herself   : 41
O         : 40
pink      : 40
In        : 40
why       : 40
myself    : 40
voice     : 40
Mama      : 40
front     : 39
crowd     : 39
upon      : 39
turned    : 39
our       : 39
won       : 38
With      : 38
still     : 38
fine      : 38
hair      : 38
h         : 37
Her       : 37
under     : 36
dollars   : 36
three     : 36
talk      : 36
war       : 35
open      : 35
maybe     : 35
lips      : 35
put       : 35
came      : 35
cut       : 34
did       : 34
year      : 34
Aw        : 34
help      : 34
minute    : 34
mind      : 34
feet      : 34
because   : 34
took      : 34
gramaw    : 34
Babe      : 34
yourself  : 34
bed       : 34
Ain       : 33
water     : 33
stand     : 33
street    : 33
lay       : 33
heart     : 33
throat    : 33
half      : 32
All       : 32
those     : 32
Lester    : 32
Come      : 32
morning   : 32
four      : 31
seen      : 31
clock     : 31
mommy     : 31
since     : 31
red       : 31
same      : 30
knows     : 30
must      : 30
Burkhardt : 30
between   : 30
left      : 30
Batch     : 30
Street    : 30
Lew       : 30
blue      : 30
days      : 30
father    : 30
ten       : 29
o         : 29
forward   : 29
another   : 29
hundred   : 29
hat       : 29
For       : 29
place     : 29
floor     : 29
men       : 29
above     : 29
ask       : 29
set       : 29
Say       : 28
dearie    : 28
To        : 28
How       : 28
side      : 28
week      : 28
Loo       : 28
along     : 28
anything  : 28
coming    : 28
run       : 28
six       : 28
big       : 28
son       : 28
rose      : 27
closed    : 27
once      : 27
Hassiebrock: 27
comes     : 27
morrow    : 27
mouth     : 27
car       : 27
Edwin     : 26
city      : 26
works     : 26
went      : 26
line      : 26
store     : 26
flat      : 26
please    : 25
Connors   : 25
Let       : 25
wish      : 25
except    : 25
Lord      : 25
behind    : 25
stood     : 25
goin      : 24
E         : 24
use       : 24
many      : 24
slightly  : 24
while     : 24
almost    : 24
making    : 24
crazy     : 24
done      : 24
easy      : 24
toward    : 24
Slayback  : 24
girls     : 24
looking   : 23
City      : 23
Kittie    : 23
looked    : 23
full      : 23
fell      : 23
very      : 23
dark      : 23
ought     : 23
women     : 22
glass     : 22
Is        : 22
Cox       : 22
died      : 22
sure      : 22
hear      : 22
young     : 22
beneath   : 22
wasn      : 22
best      : 22
Joe       : 22
mine      : 22
whole     : 22
couldn    : 22
Just      : 22
Not       : 22
moved     : 22
bad       : 22
sit       : 22
bit       : 22
beside    : 22
wreaths   : 22
C         : 21
Suss      : 21
silence   : 21
gray      : 21
terms     : 21
found     : 21
eight     : 21
suddenly  : 21
married   : 21
may       : 21
edge      : 21
coat      : 21
live      : 21
hold      : 21
evening   : 21
find      : 21
boys      : 21
dead      : 21
try       : 20
cent      : 20
shame     : 20
window    : 20
Foundation: 20
Avenue    : 20
glance    : 20
guess     : 20
smile     : 20
thought   : 20
getting   : 20
Sure      : 19
knew      : 19
hers      : 19
lady      : 19
Katz      : 19
warm      : 19
daughter  : 19
fifty     : 19
each      : 19
feel      : 19
mustn     : 19
cheeks    : 19
hour      : 19
wants     : 19
electronic: 19
already   : 19
cried     : 19
chance    : 19
hard      : 18
taking    : 18
start     : 18
need      : 18
So        : 18
am        : 18
de        : 18
somebody  : 18
sitting   : 18
Broadway  : 18
walk      : 18
reached   : 18
close     : 18
college   : 18
His       : 18
whose     : 18
moving    : 18
rich      : 18
told      : 18
used      : 18
alone     : 18
stairs    : 18
country   : 18
Maybe     : 18
Shila     : 18
Look      : 18
Long      : 18
blood     : 17
gone      : 17
Scogin    : 17
love      : 17
forty     : 17
Go        : 17
running   : 17
few       : 17
sudden    : 17
pocket    : 17
arms      : 17
West      : 17
does      : 17
papers    : 17
haven     : 17
months    : 17
New       : 17
standing  : 17
Good      : 17
Ross      : 17
within    : 17
name      : 17
flung     : 17
Then      : 16
being     : 16
Where     : 16
leave     : 16
often     : 16
end       : 16
next      : 16
looks     : 16
million   : 16
till      : 16
yes       : 16
meet      : 16
paper     : 16
rest      : 16
nights    : 16
inthe     : 16
quick     : 16
Your      : 16
ProjectGutenberg: 16
wife      : 16
windows   : 16
finger    : 16
call      : 16
book      : 16
living    : 16
breathing : 16
walked    : 15
top       : 15
kitchen   : 15
This      : 15
die       : 15
dry       : 15
Ma        : 15
might     : 15
game      : 15
second    : 15
Please    : 15
Gert      : 15
Gertie    : 15
leaned    : 15
lifted    : 15
job       : 15
