cut            : 12
drinking       : 12
grass          : 12
later          : 12
seven          : 12
common         : 12
least          : 12
lines          : 12
called         : 12
proud          : 12
found          : 12
friends        : 12
something      : 12
read           : 12
tothe          : 12
How            : 12
everything     : 12
Grandison      : 12
lei            : 12
past           : 12
added          : 12
rather         : 12
stick          : 12
felt           : 12
money          : 12
books          : 12
used           : 12
keep           : 12
tree           : 12
fine           : 12
coming         : 12
itself         : 12
royal          : 12
run            : 12
Robert         : 12
fresh          : 12
several        : 12
gold           : 11
straight       : 11
short          : 11
priest         : 11
maid           : 11
Fu             : 11
food           : 11
won            : 11
else           : 11
talked         : 11
kanaka         : 11
happy          : 11
grandfather    : 11
answer         : 11
reply          : 11
afraid         : 11
saying         : 11
reef           : 11
learned        : 11
captain        : 11
week           : 11
making         : 11
pair           : 11
milk           : 11
smiled         : 11
received       : 11
voice          : 11
Hiwilani       : 11
dark           : 11
wisdom         : 11
Howard         : 11
fire           : 11
price          : 11
Eoppo          : 11
already        : 11
mouth          : 11
harpooner      : 11
burial         : 11
children       : 11
rock           : 11
marriage       : 11
blood          : 10
sang           : 10
business       : 10
dry            : 10
progress       : 10
thrust         : 10
neck           : 10
servants       : 10
race           : 10
From           : 10
looking        : 10
language       : 10
become         : 10
flower         : 10
held           : 10
self           : 10
England        : 10
returned       : 10
named          : 10
channel        : 10
warm           : 10
swim           : 10
aliis          : 10
early          : 10
headed         : 10
free           : 10
poor           : 10
nine           : 10
devil          : 10
Her            : 10
eaten          : 10
lay            : 10
demanded       : 10
With           : 10
breast         : 10
Kohokumu       : 10
Kanau          : 10
sleep          : 10
against        : 10
houses         : 10
giant          : 10
kept           : 10
brief          : 10
Husband        : 10
King           : 10
blue           : 10
child          : 10
Nor            : 10
valley         : 10
Sister         : 10
except         : 10
afterward      : 10
cannot         : 10
horses         : 10
saddle         : 10
therefore      : 10
name           : 10
resumed        : 10
sin            : 10
sit            : 10
large          : 10
surface        : 10
gods           : 10
centuries      : 10
taking         : 9
caught         : 9
bright         : 9
third          : 9
Here           : 9
THE            : 9
bait           : 9
observed       : 9
eat            : 9
Tai            : 9
Malia          : 9
eye            : 9
TO             : 9
double         : 9
wet            : 9
happened       : 9
hula           : 9
sides          : 9
monkey         : 9
sure           : 9
Castner        : 9
oh             : 9
coffin         : 9
heaven         : 9
million        : 9
marry          : 9
having         : 9
tiny           : 9
ways           : 9
point          : 9
Only           : 9
Well           : 9
present        : 9
best           : 9
mere           : 9
tossed         : 9
weeks          : 9
close          : 9
distance       : 9
alive          : 9
paused         : 9
earth          : 9
teeth          : 9
person         : 9
played         : 9
spoke          : 9
matter         : 9
quite          : 9
paid           : 9
remembered     : 9
commanded      : 9
nineteen       : 9
mine           : 9
sweet          : 9
Just           : 9
Let            : 9
dance          : 9
heads          : 9
whom           : 9
cold           : 9
pure           : 9
pig            : 9
kicked         : 9
English        : 9
given          : 9
passed         : 9
tight          : 9
round          : 9
dollar         : 9
muscles        : 9
Mana           : 9
truly          : 9
care           : 9
bad            : 9
bit            : 9
Harbour        : 9
sky            : 9
Etexts         : 9
turn           : 8
walked         : 8
withthe        : 8
shore          : 8
island         : 8
further        : 8
waited         : 8
forgotten      : 8
remained       : 8
lying          : 8
China          : 8
lost           : 8
cattle         : 8
Ten            : 8
silence        : 8
andthe         : 8
seventy        : 8
OF             : 8
OR             : 8
remain         : 8
drunken        : 8
rain           : 8
grow           : 8
slender        : 8
gaze           : 8
help           : 8
youth          : 8
departed       : 8
beneath        : 8
swam           : 8
circle         : 8
sighed         : 8
lawn           : 8
dragged        : 8
please         : 8
YOU            : 8
miles          : 8
reason         : 8
longer         : 8
afternoon      : 8
sixty          : 8
crowd          : 8
sight          : 8
lean           : 8
coolie         : 8
lover          : 8
law            : 8
mountain       : 8
clad           : 8
pake           : 8
merely         : 8
mile           : 8
Even           : 8
fear           : 8
breath         : 8
fingers        : 8
cramp          : 8
command        : 8
aloha          : 8
family         : 8
town           : 8
scarcely       : 8
edge           : 8
lanai          : 8
lands          : 8
Remember       : 8
none           : 8
assured        : 8
ahead          : 8
despite        : 8
followed       : 8
desire         : 8
listen         : 8
eternity       : 8
neither        : 8
soft           : 8
honourable     : 8
iron           : 8
opium          : 8
heavy          : 8
canoes         : 8
truth          : 8
tender         : 8
yourself       : 8
Lord           : 8
flesh          : 8
boys           : 8
humans         : 8
Patterson      : 8
chance         : 8
buried         : 8
makes          : 8
store          : 8
written        : 8
fled           : 8
hala           : 7
o              : 7
information    : 7
Islands        : 7
quarters       : 7
order          : 7
spirit         : 7
coral          : 7
including      : 7
try            : 7
speech         : 7
blows          : 7
knows          : 7
Pacific        : 7
whispered      : 7
By             : 7
GUTENBERG      : 7
education      : 7
ancestors      : 7
races          : 7
waves          : 7
war            : 7
stuff          : 7
rank           : 7
fly            : 7
Number         : 7
Nine           : 7
possessed      : 7
coolies        : 7
Roscoe         : 7
souls          : 7
started        : 7
generations    : 7
PROJECT        : 7
Company        : 7
larger         : 7
native         : 7
oftheir        : 7
hau            : 7
impossible     : 7
yes            : 7
doubled        : 7
count          : 7
dropped        : 7
mele           : 7
weary          : 7
showed         : 7
shell          : 7
fifteen        : 7
missionaries   : 7
Stanley        : 7
luau           : 7
daughter       : 7
Princess       : 7
Laulani        : 7
front          : 7
Instead        : 7
break          : 7
knees          : 7
control        : 7
nights         : 7
Makaloa        : 7
Small          : 7
others         : 7
lad            : 7
thirsty        : 7
does           : 7
cowboy         : 7
Outrigger      : 7
bird           : 7
legal          : 7
served         : 7
mat            : 7
wonderful      : 7
saved          : 7
Aimoku         : 7
girl           : 7
rise           : 7
lives          : 7
arose          : 7
mountains      : 7
months         : 7
dreamed        : 7
States         : 7
Boki           : 7
