ground         : 15
wish           : 15
creature       : 15
grown          : 15
pulled         : 15
Shiny          : 15
mother         : 15
sun            : 15
safe           : 15
thy            : 14
sand           : 14
Brandan        : 14
taught         : 14
truncheon      : 14
hardly         : 14
forth          : 14
few            : 14
ma             : 14
hundreds       : 14
sent           : 14
arms           : 14
happy          : 14
jolly          : 14
dinner         : 14
making         : 14
lest           : 14
Come           : 14
door           : 14
wicked         : 14
girl           : 14
ladies         : 14
cock           : 14
wide           : 14
pleasant       : 14
red            : 14
broad          : 14
both           : 14
deal           : 14
fresh          : 14
sang           : 13
plenty         : 13
cry            : 13
shore          : 13
brown          : 13
grand          : 13
To             : 13
stuck          : 13
behold         : 13
contrary       : 13
foul           : 13
teach          : 13
dragon         : 13
understand     : 13
sometimes      : 13
pool           : 13
God            : 13
silver         : 13
either         : 13
brought        : 13
alive          : 13
stones         : 13
ones           : 13
noise          : 13
less           : 13
above          : 13
middle         : 13
wife           : 13
chimneys       : 13
song           : 13
since          : 13
truth          : 13
spirits        : 13
born           : 13
living         : 13
large          : 13
flew           : 13
order          : 12
try            : 12
fellows        : 12
seven          : 12
across         : 12
near           : 12
often          : 12
andthe         : 12
sharp          : 12
flies          : 12
expected       : 12
foot           : 12
won            : 12
tears          : 12
Professor      : 12
thee           : 12
proud          : 12
warm           : 12
certainly      : 12
Nowhere        : 12
free           : 12
church         : 12
close          : 12
North          : 12
mouths         : 12
sick           : 12
earth          : 12
matter         : 12
stick          : 12
open           : 12
grouse         : 12
trouble        : 12
dame           : 12
cool           : 12
glad           : 12
fine           : 12
Irishwoman     : 12
eggs           : 12
body           : 12
yourself       : 12
book           : 12
moon           : 12
allthe         : 12
getting        : 12
foolish        : 12
lessons        : 12
m              : 11
cut            : 11
neat           : 11
GUTENBERG      : 11
brave          : 11
eye            : 11
Other          : 11
window         : 11
hurt           : 11
gate           : 11
sitting        : 11
PROJECT        : 11
ve             : 11
thou           : 11
curious        : 11
Water          : 11
garden         : 11
Who            : 11
Only           : 11
beer           : 11
honour         : 11
ice            : 11
ashamed        : 11
different      : 11
teeth          : 11
quiet          : 11
inthe          : 11
thewater       : 11
minutes        : 11
ears           : 11
crack          : 11
Because        : 11
town           : 11
whom           : 11
burst          : 11
suppose        : 11
wind           : 11
neither        : 11
soot           : 11
answered       : 11
sorry          : 11
theworld       : 11
also           : 11
begin          : 11
makes          : 11
road           : 11
d              : 10
walked         : 10
All            : 10
flowers        : 10
built          : 10
grass          : 10
die            : 10
forgotten      : 10
hewas          : 10
stay           : 10
wood           : 10
need           : 10
In             : 10
Did            : 10
Don            : 10
bells          : 10
ye             : 10
north          : 10
tails          : 10
quietly        : 10
school         : 10
small          : 10
beat           : 10
fair           : 10
ill            : 10
saying         : 10
thinking       : 10
stopped        : 10
gentlemen      : 10
ready          : 10
fashion        : 10
handsome       : 10
exactly        : 10
outof          : 10
cruel          : 10
thousands      : 10
Sunday         : 10
certain        : 10
sister         : 10
Dear           : 10
wits           : 10
given          : 10
Not            : 10
petrels        : 10
evening        : 10
sort           : 10
tight          : 10
speak          : 10
already        : 10
kick           : 10
move           : 10
strong         : 10
sky            : 10
nature         : 10
doing          : 10
hair           : 10
rose           : 9
became         : 9
short          : 9
island         : 9
learnt         : 9
states         : 9
lying          : 9
known          : 9
remember       : 9
eft            : 9
leave          : 9
intothe        : 9
form           : 9
talked         : 9
hehad          : 9
second         : 9
clever         : 9
re             : 9
