the       : 5155
and       : 4044
of        : 2929
to        : 2510
I         : 2074
a         : 1650
in        : 1414
my        : 1078
that      : 926
is        : 918
me        : 879
with      : 810
he        : 722
on        : 718
this      : 710
it        : 684
was       : 672
his       : 632
for       : 625
The       : 584
you       : 560
from      : 503
be        : 500
him       : 485
have      : 420
her       : 419
or        : 415
not       : 413
as        : 394
said      : 373
will      : 368
all       : 366
s         : 365
at        : 358
had       : 352
them      : 314
one       : 295
your      : 294
they      : 292
are       : 289
but       : 288
by        : 283
which     : 280
were      : 279
God       : 274
their     : 264
king      : 259
then      : 256
what      : 252
who       : 236
she       : 233
has       : 215
day       : 212
such      : 209
no        : 204
man       : 202
In        : 200
so        : 199
an        : 198
if        : 196
we        : 190
some      : 187
up        : 186
do        : 183
out       : 181
princess  : 175
having    : 173
when      : 171
there     : 169
When      : 165
O         : 163
may       : 163
heart     : 163
these     : 154
thou      : 152
came      : 151
now       : 150
made      : 149
On        : 148
went      : 148
our       : 141
every     : 139
He        : 138
life      : 136
two       : 135
also      : 132
young     : 132
great     : 130
into      : 129
other     : 129
became    : 125
any       : 125
would     : 124
after     : 122
should    : 121
began     : 120
replied   : 118
city      : 117
thee      : 112
hearing   : 112
like      : 111
time      : 111
been      : 108
us        : 107
last      : 107
place     : 107
took      : 107
own       : 106
saw       : 106
am        : 103
same      : 103
night     : 101
house     : 98
thy       : 97
go        : 95
before    : 95
where     : 95
down      : 93
merchant  : 93
come      : 93
gave      : 92
days      : 92
whatever  : 91
myself    : 91
used      : 91
country   : 91
called    : 90
father    : 88
could     : 88
well      : 87
It        : 86
saying    : 86
old       : 86
here      : 86
without   : 85
over      : 84
At        : 83
A         : 82
about     : 82
much      : 82
brought   : 81
put       : 81
asked     : 81
If        : 80
short     : 78
state     : 78
moment    : 77
very      : 76
say       : 76
can       : 75
good      : 74
mind      : 74
set       : 74
name      : 74
prince    : 73
through   : 72
away      : 72
see       : 71
seeing    : 71
give      : 71
person    : 70
its       : 69
shall     : 69
many      : 68
world     : 67
This      : 67
more      : 66
himself   : 65
near      : 64
Gutenberg : 64
khwaja    : 64
heard     : 64
years     : 64
did       : 63
let       : 63
Project   : 63
water     : 63
hands     : 63
whole     : 63
even      : 62
son       : 62
head      : 62
sent      : 62
means     : 61
along     : 60
both      : 60
way       : 60
majesty   : 59
take      : 59
leave     : 59
garden    : 59
off       : 58
towards   : 58
seen      : 58
each      : 58
being     : 57
After     : 57
men       : 57
only      : 56
hand      : 56
feet      : 56
manner    : 56
gold      : 55
slave     : 55
might     : 55
yet       : 55
dog       : 54
those     : 54
under     : 54
reason    : 54
c         : 53
appeared  : 53
eyes      : 53
They      : 53
work      : 53
first     : 53
wazir     : 53
passed    : 53
people    : 53
throne    : 53
ordered   : 52
make      : 51
death     : 51
three     : 51
Literally : 50
returned  : 50
nothing   : 49
arrived   : 49
answered  : 49
Then      : 49
return    : 49
tm        : 48
words     : 48
word      : 48
four      : 47
how       : 47
daughter  : 47
perceived : 47
long      : 47
morning   : 47
found     : 46
What      : 46
slaves    : 46
remained  : 45
present   : 45
She       : 45
must      : 45
never     : 44
reached   : 43
money     : 43
One       : 43
use       : 43
upon      : 43
part      : 43
greatly   : 43
likewise  : 43
entered   : 42
wish      : 42
than      : 42
Mubarak   : 41
brother   : 41
Darweshes : 41
happened  : 41
according : 41
fear      : 41
story     : 41
order     : 40
remain    : 40
quite     : 40
female    : 40
presence  : 40
sat       : 40
eunuch    : 40
Persia    : 39
pieces    : 39
door      : 39
royal     : 39
rich      : 39
Hatim     : 39
All       : 38
got       : 38
done      : 38
Now       : 38
sit       : 38
India     : 38
know      : 38
fell      : 38
bring     : 38
circumstance: 38
art       : 38
year      : 37
works     : 37
among     : 37
note      : 37
most      : 37
little    : 37
perhaps   : 37
related   : 37
strange   : 37
woman     : 36
circumstances: 36
placed    : 36
ever      : 36
prayers   : 36
kind      : 36
idol      : 36
hast      : 36
That      : 36
servants  : 36
become    : 36
thus      : 36
far       : 35
pleased   : 35
again     : 35
Persian   : 35
together  : 35
back      : 34
few       : 34
apartment : 34
love      : 34
hear      : 34
stood     : 34
get       : 33
Having    : 33
dressed   : 33
property  : 33
orders    : 33
received  : 33
nor       : 33
whom      : 33
tell      : 33
why       : 33
face      : 33
sight     : 33
mother    : 33
wretch    : 32
Well      : 32
master    : 32
looked    : 32
seated    : 32
round     : 32
body      : 32
instantly : 32
another   : 32
You       : 32
plain     : 32
carried   : 32
beautiful : 31
There     : 31
food      : 31
left      : 31
condition : 31
full      : 31
live      : 31
formed    : 31
brothers  : 31
end       : 30
filled    : 30
once      : 30
jewels    : 30
wife      : 30
various   : 30
governor  : 30
side      : 30
act       : 30
wishes    : 30
clothes   : 30
taking    : 29
laid      : 29
lay       : 29
wine      : 29
mouth     : 29
large     : 29
horse     : 29
hath      : 29
Shah      : 29
mounted   : 29
seized    : 29
true      : 29
eat       : 28
My        : 28
conduct   : 28
respect   : 28
drink     : 28
alone     : 28
favour    : 28
Hindustan : 28
look      : 28
taken     : 28
ease      : 28
pass      : 28
still     : 28
desire    : 28
going     : 27
nurse     : 27
relate    : 27
As        : 27
neck      : 27
continued : 27
khil      : 27
sake      : 27
Bakht     : 27
ofthe     : 27
appearance: 27
justice   : 27
Azad      : 27
whose     : 27
heads     : 27
given     : 27
home      : 27
