the       : 4970
of        : 2523
and       : 2393
to        : 1796
a         : 1743
in        : 1268
is        : 1220
it        : 792
was       : 716
that      : 656
but       : 572
for       : 547
not       : 534
The       : 511
with      : 503
as        : 485
he        : 435
on        : 432
or        : 422
his       : 422
we        : 419
by        : 412
be        : 392
at        : 387
are       : 375
one       : 368
all       : 292
were      : 286
so        : 285
from      : 281
an        : 261
which     : 249
they      : 240
no        : 238
It        : 237
had       : 236
man       : 220
out       : 213
who       : 212
you       : 212
road      : 202
have      : 201
I         : 200
s         : 195
machine   : 195
will      : 189
there     : 184
this      : 175
more      : 160
if        : 159
would     : 159
may       : 151
than      : 149
about     : 144
him       : 141
up        : 140
their     : 140
any       : 139
good      : 138
old       : 138
two       : 138
has       : 136
time      : 133
when      : 127
men       : 126
In        : 125
can       : 125
into      : 124
some      : 124
do        : 123
day       : 119
been      : 118
our       : 118
over      : 118
very      : 117
through   : 116
miles     : 115
its       : 114
where     : 113
A         : 112
little    : 110
every     : 110
then      : 108
made      : 105
We        : 104
way       : 104
roads     : 102
could     : 96
go        : 95
them      : 94
only      : 93
what      : 89
upon      : 89
did       : 87
automobile: 87
long      : 87
quite     : 85
like      : 84
great     : 84
other     : 84
life      : 83
most      : 82
work      : 80
many      : 79
far       : 78
too       : 77
much      : 77
side      : 77
well      : 76
must      : 76
own       : 75
country   : 74
He        : 73
few       : 73
us        : 73
said      : 73
things    : 73
see       : 71
people    : 71
those     : 70
Morgan    : 70
know      : 70
until     : 70
my        : 69
come      : 69
days      : 68
just      : 68
hour      : 68
before    : 67
without   : 67
If        : 65
horse     : 65
while     : 65
Emerson   : 64
Gutenberg : 64
run       : 64
place     : 64
these     : 64
make      : 63
Project   : 63
after     : 62
better    : 62
left      : 62
At        : 61
new       : 61
half      : 61
should    : 61
matter    : 60
down      : 60
night     : 60
such      : 59
three     : 59
use       : 59
get       : 58
first     : 58
her       : 57
There     : 56
never     : 56
found     : 55
years     : 55
now       : 54
house     : 54
last      : 53
does      : 53
same      : 53
another   : 53
each      : 53
morning   : 53
came      : 52
four      : 51
how       : 50
soul      : 50
But       : 49
oil       : 49
part      : 49
tm        : 48
along     : 48
off       : 48
your      : 48
t         : 47
As        : 47
small     : 47
